account_id,cluster_label,cluster_size,is_outlier
8001758B0,22,12,False
80018BA80,12,15,False
80018E990,24,14,False
80018F970,8,10,False
800191A90,16,9,False
800193420,35,15,False
800195070,18,14,False
8001998C0,24,14,False
80019A020,26,15,False
80019D2E0,9,22,False
8001A8460,35,15,False
8001A9700,42,13,False
8001AB940,7,13,False
8001B2A50,53,5,False
8001B7060,30,17,False
8001BBEF0,-1,1,True
8001BD460,54,7,False
8001BDC90,-1,1,True
8001C3570,45,13,False
8001C6920,29,16,False
8001CA5C0,25,11,False
8001CE6C0,24,14,False
8001CF060,18,14,False
8001D6370,17,17,False
8001DAF70,18,14,False
8001DE1B0,-1,1,True
8001E1DE0,18,14,False
8001E34C0,-1,1,True
8001E37F0,30,17,False
8001E3CC0,32,14,False
8001E45D0,-1,1,True
8001E89E0,28,10,False
8001EF2E0,28,10,False
80021ADE0,31,11,False
80021BEC0,32,14,False
80021DC50,51,889,False
80021F680,-1,1,True
800228EC0,9,22,False
80022A3F0,22,12,False
80022B750,26,15,False
800232B60,17,17,False
800240B70,31,11,False
80024D950,20,18,False
80024EBB0,19,17,False
80024FF00,20,18,False
800250820,9,22,False
800254FD0,12,15,False
8002552F0,37,7,False
800256CC0,55,5,False
800256E00,55,5,False
800256EF0,55,5,False
80025A740,8,10,False
80026A5A0,56,9,False
80026CDF0,28,10,False
8002787E0,49,7,False
8002807E0,51,889,False
8002A65C0,-1,1,True
8002C56D0,51,889,False
8002C7E80,56,9,False
8002CE270,-1,1,True
8002ECFC0,6,24,False
800301780,21,11,False
800306AA0,20,18,False
800324420,11,12,False
8003278E0,57,8,False
80034A780,36,12,False
80034DC00,58,6,False
80035DA80,19,17,False
80035F420,49,7,False
800378700,59,5,False
800379860,6,24,False
80038A310,6,24,False
80038D0D0,15,17,False
80038E6F0,33,7,False
800393D40,58,6,False
80039CD50,32,14,False
8003A04C0,60,7,False
8003A2200,41,17,False
8003A8A60,42,13,False
8003AC470,37,7,False
8003AC471,38,5,False
8003B9D30,35,15,False
8003BCBB0,26,15,False
8003BD920,57,8,False
8003BDF60,57,8,False
8003BE4B0,57,8,False
8003BE730,57,8,False
8003BF6E0,57,8,False
8003C2210,41,17,False
8003C24D0,51,889,False
8003D1FC0,12,15,False
8003F7BD0,51,889,False
8003FBD00,56,9,False
80040A220,24,14,False
800415B00,33,7,False
8004162D0,26,15,False
80041DDA0,34,16,False
800425630,51,889,False
800432650,61,7,False
800434550,19,17,False
80043A250,31,11,False
8004429F0,23,16,False
8004473E0,51,889,False
800456880,51,889,False
80045B7C0,62,10,False
80045CEF0,11,12,False
800473570,14,31,False
80047E7B0,15,17,False
80047EED0,12,15,False
800489210,51,889,False
800489F60,-1,1,True
8004922D0,61,7,False
80049A540,-1,1,True
8004AF800,20,18,False
8004B6050,51,889,False
8004C74E0,-1,1,True
8004CF710,7,13,False
8004DC0A0,63,5,False
8004FD2A0,39,7,False
8004FE3E0,51,889,False
800506810,58,6,False
800528510,6,24,False
80053CFC0,51,889,False
800545B00,9,22,False
8005486E0,64,12,False
800549E00,35,15,False
80054F8C0,54,7,False
80054FC20,54,7,False
800550920,54,7,False
800559860,19,17,False
80055E260,27,8,False
8005692B0,54,7,False
80056E5C0,-1,1,True
8005730D0,65,5,False
8005814C0,40,11,False
800595290,-1,1,True
8005A0D10,18,14,False
8005A18F0,66,146,False
8005A1B80,15,17,False
8005AEB60,35,15,False
8005D3B30,67,6,False
8005E4980,68,7,False
8005E5940,49,7,False
8005F5810,15,17,False
8005F7CD0,32,14,False
8005FD430,16,9,False
80060E490,56,9,False
800618D90,10,25,False
800619E80,-1,1,True
80061A630,57,8,False
8006248A0,-1,1,True
800627410,18,14,False
800629A20,18,14,False
80063A800,49,7,False
80063DE20,51,889,False
800645040,56,9,False
8006498E0,6,24,False
80064AB30,18,14,False
800655BC0,35,15,False
80065E800,13,20,False
800668890,69,7,False
80066D000,34,16,False
800681A40,70,6,False
800688D00,30,17,False
80068E7D0,52,7,False
80068F400,22,12,False
8006A66A0,-1,1,True
8006B0490,34,16,False
8006B5930,71,19,False
8006B89A0,-1,1,True
8006BB110,69,7,False
8006C49E0,-1,1,True
8006C7290,16,9,False
8006C7740,23,16,False
8006CDB30,30,17,False
8006DFC50,60,7,False
8006E0660,16,9,False
8006E2E40,72,5,False
8006E4A40,24,14,False
8007071B0,21,11,False
800710850,12,15,False
800711AE0,72,5,False
800711BD0,72,5,False
800720AA0,10,25,False
80072D300,20,18,False
80073F230,20,18,False
8007439C0,17,17,False
800750080,-1,1,True
80075BC80,9,22,False
80075D5E0,32,14,False
80076E540,40,11,False
800778840,73,5,False
80078B850,29,16,False
800793180,51,889,False
8007A97A0,36,12,False
800804F70,-1,1,True
800805540,74,6,False
800808C70,30,17,False
80080DBF0,52,7,False
800816030,32,14,False
800818D30,41,17,False
80081ED90,25,11,False
80082B030,34,16,False
800837E10,23,16,False
800846280,35,15,False
800846CF0,30,17,False
80084B380,51,889,False
800854820,34,16,False
8008566C0,32,14,False
800871790,22,12,False
8008735A0,21,11,False
8008774F0,13,20,False
800894770,17,17,False
8008BB3A0,66,146,False
8008CE991,-1,1,True
8008D8C30,41,17,False
8008E8BF0,-1,1,True
8009083C0,66,146,False
800925110,51,889,False
800931ED0,-1,1,True
800935340,56,9,False
80093A6D0,11,12,False
800950E30,34,16,False
8009516F0,75,7,False
8009580D0,42,13,False
800970B80,-1,1,True
80098A3D0,76,9,False
80098E1E0,-1,1,True
8009A4370,51,889,False
8009B45E0,51,889,False
8009C6170,77,8,False
8009CE490,20,18,False
8009D56C0,-1,1,True
8009F93B0,29,16,False
800A014B0,19,17,False
800A14360,17,17,False
800A290F0,78,8,False
800A366F0,33,7,False
800A4B610,-1,1,True
800A52F40,51,889,False
800A57770,-1,1,True
800A5F6C0,79,9,False
800A73310,19,17,False
800A79350,71,19,False
800A8D010,-1,1,True
800AA9E00,51,889,False
800AB3970,80,8,False
800AC30B0,19,17,False
800AC3AC0,42,13,False
800AFE2F0,81,5,False
800B10B00,54,7,False
800B10F80,-1,1,True
800B25370,-1,1,True
800B28B60,-1,1,True
800B29140,37,7,False
800B3A9C0,51,889,False
800B620B0,51,889,False
800B7B5B0,17,17,False
800B87D30,-1,1,True
800B95320,51,889,False
800BA44C0,-1,1,True
800BA6C30,-1,1,True
800BAEA11,-1,1,True
800BAF580,82,6,False
800BBD220,51,889,False
800BED3C0,51,889,False
800C03640,-1,1,True
800C06E60,14,31,False
800C214A0,70,6,False
800C28FD0,-1,1,True
800C2DB20,17,17,False
800C35BE0,83,5,False
800C45CA0,51,889,False
800C5E3F0,51,889,False
800C733C0,-1,1,True
800C9BCE0,40,11,False
800CB0760,16,9,False
800CE8340,66,146,False
800CF62E0,-1,1,True
800D10B40,23,16,False
800D11090,51,889,False
800D2ACB0,32,14,False
800D2B1B0,25,11,False
800D36B20,51,889,False
800D38EF0,84,12,False
800D3EB00,-1,1,True
800D43A90,51,889,False
800D46C20,51,889,False
800D5C2E0,-1,1,True
800D5F230,26,15,False
800D621B0,-1,1,True
800D6DD70,51,889,False
800D7A690,-1,1,True
800D83A40,51,889,False
800D93700,50,7,False
800D996E0,30,17,False
800DB2CF0,36,12,False
800DB45D0,25,11,False
800DCA660,24,14,False
800DCE920,-1,1,True
800DD0D90,12,15,False
800DDCCE0,7,13,False
800DDED10,51,889,False
800DEC1D0,85,7,False
800E08EB0,-1,1,True
800E3DD10,21,11,False
800E4DA90,51,889,False
800E84250,51,889,False
800E86060,66,146,False
800E860B0,66,146,False
800E97810,-1,1,True
800EA0DE0,-1,1,True
800EA3760,-1,1,True
800EAC9D0,-1,1,True
800EB04C0,-1,1,True
800EB7DB0,19,17,False
800EC3AF0,52,7,False
800ED00D0,-1,1,True
800EE2180,51,889,False
800EE3450,29,16,False
800EE4450,10,25,False
800EFEC70,-1,1,True
800F013F0,15,17,False
800F02FB0,-1,1,True
800F06F10,-1,1,True
800F123C0,62,10,False
800F1DB80,51,889,False
800F30520,51,889,False
800F31850,-1,1,True
800F42EF0,22,12,False
800F63960,25,11,False
800F67030,35,15,False
800F70C40,36,12,False
800F73590,-1,1,True
800F74DF0,-1,1,True
800FC2E50,86,6,False
800FDBF30,-1,1,True
800FDE180,87,8,False
80101D8F0,66,146,False
8010414C0,-1,1,True
80104C070,88,7,False
80104C6F0,51,889,False
801059C70,-1,1,True
80105A870,-1,1,True
801079260,88,7,False
80107DF80,88,7,False
80107E200,88,7,False
80107EA40,88,7,False
801090590,89,10,False
8010940E0,35,15,False
801096840,67,6,False
8010AE7D0,-1,1,True
8010AE9A0,-1,1,True
8010BB6E0,51,889,False
8010BC410,-1,1,True
8010D1D00,-1,1,True
8010EA130,32,14,False
8010F2720,15,17,False
8010FD210,90,5,False
8011125F0,-1,1,True
801117B90,-1,1,True
80115BE40,-1,1,True
80116AFF0,69,7,False
801189FC0,18,14,False
801198F90,91,5,False
8011D2BD0,51,889,False
8011DF4A0,-1,1,True
8011F1250,51,889,False
8011F9E60,51,889,False
8012010B0,51,889,False
80120A710,51,889,False
801211C30,-1,1,True
801212B10,-1,1,True
8012261B0,10,25,False
8012296B0,88,7,False
801249DD0,92,10,False
80124B260,-1,1,True
80124DA90,51,889,False
80127C9F0,53,5,False
8012846D0,23,16,False
80128D9D0,11,12,False
801294D10,51,889,False
80129EAE0,-1,1,True
80129EB80,-1,1,True
8012BFD70,93,6,False
8012E46E0,31,11,False
8013388F0,-1,1,True
8013605A0,59,5,False
8013B5280,55,5,False
8013E0D50,-1,1,True
8013E5FB0,51,889,False
8013FD450,-1,1,True
8014178C0,94,7,False
801419010,52,7,False
801461050,51,889,False
8014612E0,41,17,False
801462490,-1,1,True
801471C80,66,146,False
80147FA90,66,146,False
80148BD80,13,20,False
8014A1950,-1,1,True
8014A1CB0,-1,1,True
8014A3E30,-1,1,True
8014B5570,-1,1,True
8014CB250,-1,1,True
8014D45A0,51,889,False
8014E3E10,25,11,False
8014F8F30,42,13,False
8014FC550,51,889,False
8015216E0,51,889,False
80152EDC0,71,19,False
801533C40,95,6,False
801535A60,51,889,False
801537BC0,96,15,False
801542B10,97,9,False
80158AFD0,54,7,False
8015936C0,-1,1,True
8015C6420,-1,1,True
8015CCAC0,98,9,False
8015CDCD0,-1,1,True
8015E65A0,20,18,False
8015E88E0,51,889,False
8015F18C0,29,16,False
801621350,99,5,False
801621DD0,99,5,False
801630450,-1,1,True
80163B7F0,19,17,False
8016448B0,-1,1,True
80164A9C0,78,8,False
80164B550,78,8,False
80164F8A0,99,5,False
801651CC0,99,5,False
801666430,99,5,False
8016723A0,93,6,False
80167DDD0,51,889,False
8016A5360,-1,1,True
8016A54A0,-1,1,True
8016A9DB0,30,17,False
8016B8CD0,100,7,False
8016CC350,10,25,False
8016D7060,85,7,False
8016D8110,51,889,False
8016DB1E0,16,9,False
8016DF190,-1,1,True
8016E3AA0,-1,1,True
80170D0A0,6,24,False
80174B200,-1,1,True
80174EF70,-1,1,True
801772420,51,889,False
80177CEB0,51,889,False
801798880,-1,1,True
80179F360,51,889,False
8017BCCD0,84,12,False
8017BE720,51,889,False
8017C71A0,51,889,False
8017CB230,-1,1,True
8017D4DA0,101,6,False
8017D7AF0,13,20,False
801801B40,102,5,False
8018204F0,51,889,False
8018238B0,51,889,False
801827EC0,50,7,False
801834370,13,20,False
80184DA00,103,8,False
801857EB0,60,7,False
80185BB80,-1,1,True
801860520,-1,1,True
80186E730,85,7,False
801873FA0,81,5,False
80188C080,82,6,False
8018AF090,104,9,False
8018C98C0,-1,1,True
8018CBE20,55,5,False
8018CD260,51,889,False
8018E0040,59,5,False
80192A260,84,12,False
80192BFB0,84,12,False
80192FEF0,51,889,False
801958E70,7,13,False
80195BB20,9,22,False
8019739C0,51,889,False
801986330,51,889,False
8019C1290,105,7,False
8019C1330,105,7,False
8019C1560,105,7,False
8019C23D0,105,7,False
8019C9AA0,-1,1,True
8019CF270,-1,1,True
8019D53B0,51,889,False
8019D82F0,20,18,False
8019E4B60,34,16,False
8019F3C80,61,7,False
8019FFC80,51,889,False
801A179B0,-1,1,True
801A19640,51,889,False
801A1ED50,-1,1,True
801A1F4D0,-1,1,True
801A21E40,7,13,False
801A22E00,-1,1,True
801A27B20,-1,1,True
801A2ECA0,-1,1,True
801A36C20,-1,1,True
801A7E980,-1,1,True
801A83B10,-1,1,True
801AAB6A0,106,5,False
801AAE1B0,53,5,False
801AB3040,102,5,False
801AD8570,-1,1,True
801AD9D90,20,18,False
801AF9510,-1,1,True
801B0D040,107,7,False
801B23910,23,16,False
801B28780,108,5,False
801B28870,108,5,False
801B28960,108,5,False
801B289B0,108,5,False
801B28A50,108,5,False
801B3D440,83,5,False
801B565E0,51,889,False
801B5F4E0,6,24,False
801B850B0,51,889,False
801B8EBB0,25,11,False
801BB7120,10,25,False
801BCA760,-1,1,True
801BEED90,51,889,False
801BFB960,109,8,False
801C04D80,51,889,False
801C07E00,34,16,False
801C0FB60,51,889,False
801C40BF0,28,10,False
801C5A580,56,9,False
801C7C6D0,66,146,False
801C7D6A0,66,146,False
801C912F0,-1,1,True
801C98AE0,51,889,False
801C9D3E0,11,12,False
801CAD7E0,110,5,False
801CAD8D0,110,5,False
801CAD9C0,110,5,False
801CB1B60,111,5,False
801CB1C00,111,5,False
801CB1C50,111,5,False
801CBAF20,51,889,False
801CBD470,58,6,False
801CCF940,-1,1,True
801CD85A0,-1,1,True
801D03210,51,889,False
801D4EE90,40,11,False
801D83260,104,9,False
801DA6080,21,11,False
801DAE650,109,8,False
801DD5140,51,889,False
801DE8D10,41,17,False
801DFB5B0,51,889,False
801E2B3B0,-1,1,True
801E47D80,-1,1,True
801E6A920,51,889,False
801EC0260,51,889,False
801EC49C0,97,9,False
801EC5530,97,9,False
801EC5580,97,9,False
801EC55D0,97,9,False
801EC5710,97,9,False
801EC5760,97,9,False
801EC5F20,97,9,False
801EC6010,97,9,False
801ED4980,51,889,False
801ED61F0,68,7,False
801ED6910,68,7,False
801EE2770,-1,1,True
801F212F0,-1,1,True
801F2E1A0,51,889,False
801F2E9B0,-1,1,True
801F307F0,104,9,False
801F69530,51,889,False
801F7CB30,-1,1,True
801FC1CB0,104,9,False
801FEFC90,27,8,False
80200A570,-1,1,True
802021CD0,74,6,False
802021D20,74,6,False
802030F60,-1,1,True
802035310,76,9,False
8020699D0,112,11,False
80206A100,112,11,False
8020A01E0,-1,1,True
8020D3130,-1,1,True
8020D3EF0,-1,1,True
8020D99C0,-1,1,True
8020EDF80,49,7,False
8020F1BE0,-1,1,True
8021008F0,-1,1,True
802111CD0,113,5,False
802119C10,51,889,False
802145270,-1,1,True
80216CE90,61,7,False
80216EE30,80,8,False
80216EE80,80,8,False
802176B60,-1,1,True
802184880,51,889,False
802186F50,114,10,False
8021882B0,114,10,False
802188300,114,10,False
802188350,114,10,False
8021886B0,114,10,False
802188CA0,114,10,False
8021890A0,114,10,False
802199BD0,114,10,False
802199C20,114,10,False
80219A8D0,114,10,False
8021E0FE0,107,7,False
8021F2480,115,6,False
8021FFD30,51,889,False
802201890,7,13,False
80220D040,-1,1,True
802213DF0,51,889,False
802222410,51,889,False
802236EA0,29,16,False
8022480A0,107,7,False
80224CAA0,51,889,False
80225C2C0,-1,1,True
80226A860,51,889,False
80226C4C0,51,889,False
80226E680,35,15,False
80227A210,75,7,False
8022D83D0,13,20,False
80231AB70,-1,1,True
80231C910,-1,1,True
80233B380,-1,1,True
80234CE50,77,8,False
802375B20,116,11,False
8023C1EF0,-1,1,True
8023C6E30,-1,1,True
8023C9750,117,5,False
8023ED8B0,51,889,False
8023FBD80,78,8,False
802400FB0,-1,1,True
802413950,83,5,False
8024139F0,83,5,False
8024193E0,-1,1,True
80241F950,118,14,False
802422010,109,8,False
802454150,119,6,False
80247ACF0,-1,1,True
80247BB70,51,889,False
8024802B0,60,7,False
802486E50,51,889,False
8024C6BD0,103,8,False
8024CEAA0,120,9,False
8024D12E0,61,7,False
8024E8770,116,11,False
802515ED0,20,18,False
8025215F0,104,9,False
8025239F0,51,889,False
80252EF80,51,889,False
80254A380,51,889,False
80254F920,121,6,False
80254F9C0,121,6,False
80254FA60,121,6,False
80255C3C0,63,5,False
80255E030,72,5,False
80255F6D0,41,17,False
802569B30,51,889,False
802577E80,112,11,False
80257A2F0,76,9,False
802591830,68,7,False
8025AFB80,51,889,False
8025BE730,51,889,False
8025E5970,50,7,False
8025F9120,51,889,False
802605BB0,-1,1,True
8026096F0,-1,1,True
8026367E0,122,5,False
80264DE00,116,11,False
802657ED0,-1,1,True
802657F70,-1,1,True
80265BCB0,51,889,False
802667790,79,9,False
802678250,123,6,False
80268DEF0,77,8,False
80269F230,77,8,False
8026B3760,51,889,False
8026B9670,-1,1,True
8026EC360,112,11,False
8026ED8D0,51,889,False
80271AD20,59,5,False
80271DB90,51,889,False
802742B50,98,9,False
80276CE70,98,9,False
80276E8D0,32,14,False
80277A7C0,62,10,False
80278D510,87,8,False
8027AC630,84,12,False
8027CD110,103,8,False
8027D8100,77,8,False
8027DC5E0,76,9,False
8027F18F0,51,889,False
802824F50,-1,1,True
802825930,-1,1,True
802849D60,66,146,False
80284C550,66,146,False
802851A10,15,17,False
80285CE30,10,25,False
80286CBA0,-1,1,True
80286D280,-1,1,True
8028A4630,-1,1,True
8028FE1A0,-1,1,True
8029176F0,-1,1,True
802917A10,-1,1,True
802959F80,51,889,False
80296CA20,-1,1,True
8029751E0,-1,1,True
802980380,51,889,False
8029AFBC0,-1,1,True
8029DCFF0,123,6,False
8029ED1D0,86,6,False
8029FD6D0,124,5,False
802A128A0,125,6,False
802A136B0,126,5,False
802A45100,-1,1,True
802A6DF40,27,8,False
802A7F590,-1,1,True
802A92B30,122,5,False
802AC1D70,127,6,False
802ACD260,107,7,False
802AD2A00,53,5,False
802ADC5B0,86,6,False
802AF4F20,-1,1,True
802B23240,51,889,False
802B25500,128,6,False
802B2A690,50,7,False
802B35210,39,7,False
802B59400,51,889,False
802B8DF60,51,889,False
802BC2530,39,7,False
802BCFE40,51,889,False
802BE6300,12,15,False
802BF1730,-1,1,True
802C38120,67,6,False
802C383E0,67,6,False
802C38840,67,6,False
802C439B0,51,889,False
802C46080,129,9,False
802C48E80,66,146,False
802C54340,51,889,False
802C54C70,-1,1,True
802C58090,129,9,False
802C69C80,51,889,False
802C6B020,-1,1,True
802C6E9E0,-1,1,True
802C70BB0,-1,1,True
802C71560,-1,1,True
802C79370,130,5,False
802C8CF10,51,889,False
802CAE9D0,124,5,False
802CCA7E0,118,14,False
802CCE400,118,14,False
802CD6E20,119,6,False
802CD73C0,-1,1,True
802CE3AC0,-1,1,True
802CE3B10,-1,1,True
802D1E340,51,889,False
802D21160,51,889,False
802D39430,122,5,False
802D53570,131,10,False
802D53700,131,10,False
802D53880,131,10,False
802D53B50,131,10,False
802D53CE0,131,10,False
802D53D80,131,10,False
802D54930,131,10,False
802D54980,131,10,False
802D54A20,131,10,False
802D54B60,131,10,False
802D76360,51,889,False
802D85170,-1,1,True
802DA8920,106,5,False
802DAA850,132,5,False
802DB5A10,17,17,False
802DBE860,-1,1,True
802DC94C0,51,889,False
802DD5430,26,15,False
802E1C5F0,-1,1,True
802ECCFF0,-1,1,True
802ED8920,-1,1,True
802EE1F20,36,12,False
802EFA860,51,889,False
802EFB0C0,111,5,False
802F3C9E0,-1,1,True
802F401B0,-1,1,True
802F4C810,-1,1,True
802F55C80,116,11,False
802F56080,116,11,False
802F92460,-1,1,True
802FA7310,51,889,False
802FAD250,51,889,False
802FB2C20,-1,1,True
802FB7770,11,12,False
802FBA3A0,63,5,False
802FDD680,-1,1,True
802FFA8C0,53,5,False
803009080,0,8,False
80302EEC0,106,5,False
803042E00,51,889,False
80304E5F0,-1,1,True
803076D90,-1,1,True
8030774A0,-1,1,True
80308B8A0,-1,1,True
80309A250,80,8,False
8030A49B0,126,5,False
8030CD8B0,42,13,False
8030D37E0,-1,1,True
8030DCBC0,-1,1,True
8030E8C80,80,8,False
8030F0360,125,6,False
8030F0750,125,6,False
803100750,39,7,False
80312B180,26,15,False
803130170,93,6,False
803132450,26,15,False
803145180,51,889,False
80314ABA0,-1,1,True
80314B220,-1,1,True
80314C230,-1,1,True
80314EC80,43,5,False
80315FCD0,51,889,False
803165370,51,889,False
803193DC0,-1,1,True
8031B7E50,51,889,False
8031DD260,133,7,False
8031E6280,126,5,False
803209820,51,889,False
80321F610,134,18,False
80321FA70,134,18,False
803220930,134,18,False
80323AB50,51,889,False
803247FE0,51,889,False
803253540,13,20,False
80326BA30,134,18,False
80326D010,134,18,False
803270B90,134,18,False
803270BE0,134,18,False
803271FC0,134,18,False
803272580,134,18,False
803272710,134,18,False
803273E80,134,18,False
803274500,134,18,False
803274550,134,18,False
803274990,134,18,False
803274A30,134,18,False
803274AD0,134,18,False
8032751F0,134,18,False
8032788F0,134,18,False
80328C410,15,17,False
8032980A0,-1,1,True
