account_id,graph_anomaly_score,contributing_factors
80005AD90,0.25,"high flow betweenness centrality (bc=1.61e-06); high transaction volume (in=5, out=166)"
80005ADE0,0.25,"high flow betweenness centrality (bc=1.61e-06); high transaction volume (in=27, out=279)"
80005B110,0.25,"high flow betweenness centrality (bc=1.50e-06); high transaction volume (in=27, out=126)"
80005B3E0,0.05,"high transaction volume (in=1, out=69)"
80005B5F0,0.15,"isolated micro-cluster (size=7); high transaction volume (in=44, out=98)"
80005B9B0,0.05,"high transaction volume (in=62, out=192)"
80005BD00,0.25,"high flow betweenness centrality (bc=2.65e-06); high transaction volume (in=23, out=187)"
80005C050,0.25,"high flow betweenness centrality (bc=3.69e-06); high transaction volume (in=53, out=122)"
80005C0A0,0.15,"isolated micro-cluster (size=7); high transaction volume (in=43, out=139)"
80005C0A1,0.1,isolated micro-cluster (size=5)
80005C3D0,0.35,"high flow betweenness centrality (bc=2.08e-06); isolated micro-cluster (size=7); high transaction volume (in=46, out=150)"
80005C790,0.05,"high transaction volume (in=20, out=211)"
80005CB50,0.25,"high flow betweenness centrality (bc=1.96e-06); high transaction volume (in=24, out=148)"
80005CF10,0.25,"high flow betweenness centrality (bc=2.31e-06); high transaction volume (in=39, out=100)"
8000625C0,0.1,isolated micro-cluster (size=8)
800066070,0.1,isolated micro-cluster (size=8)
800067BB0,0.0,baseline structural profile; no graph anomalies detected
800067DC0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800068890,0.0,baseline structural profile; no graph anomalies detected
800068B80,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800068E90,0.0,baseline structural profile; no graph anomalies detected
800069180,0.0,baseline structural profile; no graph anomalies detected
8000691D0,0.0,baseline structural profile; no graph anomalies detected
800069740,0.0,baseline structural profile; no graph anomalies detected
800069DD0,0.0,baseline structural profile; no graph anomalies detected
80006A5E0,0.0,baseline structural profile; no graph anomalies detected
80006A8B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80006B030,0.0,baseline structural profile; no graph anomalies detected
80006B080,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80006B780,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80006C1F0,0.0,baseline structural profile; no graph anomalies detected
80006C890,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80006CB30,0.0,baseline structural profile; no graph anomalies detected
80006CD90,0.0,baseline structural profile; no graph anomalies detected
80006E160,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80006E370,0.1,isolated micro-cluster (size=5)
80006EA80,0.0,baseline structural profile; no graph anomalies detected
80006F380,0.0,baseline structural profile; no graph anomalies detected
80006F5E0,0.0,baseline structural profile; no graph anomalies detected
80006F9C0,0.0,baseline structural profile; no graph anomalies detected
80006FCE0,0.0,baseline structural profile; no graph anomalies detected
800070010,0.0,baseline structural profile; no graph anomalies detected
800070290,0.136,isolated micro-cluster (size=6)
800070610,0.0,baseline structural profile; no graph anomalies detected
800070870,0.0,baseline structural profile; no graph anomalies detected
800070AD0,0.0,baseline structural profile; no graph anomalies detected
800071150,0.0,baseline structural profile; no graph anomalies detected
800071A10,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800071D30,0.0,baseline structural profile; no graph anomalies detected
800072080,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800072350,0.0,baseline structural profile; no graph anomalies detected
800072710,0.0,baseline structural profile; no graph anomalies detected
800072EF0,0.0,baseline structural profile; no graph anomalies detected
800072F40,0.0,baseline structural profile; no graph anomalies detected
800073360,0.0,baseline structural profile; no graph anomalies detected
800073750,0.0,baseline structural profile; no graph anomalies detected
800073AF0,0.0,baseline structural profile; no graph anomalies detected
8000746C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000748D0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000748D1,0.0,baseline structural profile; no graph anomalies detected
800075050,0.0,baseline structural profile; no graph anomalies detected
8000750A0,0.0,baseline structural profile; no graph anomalies detected
800075700,0.0,baseline structural profile; no graph anomalies detected
800075C50,0.0,baseline structural profile; no graph anomalies detected
800075FF0,0.0,baseline structural profile; no graph anomalies detected
8000763B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800076AD0,0.0,baseline structural profile; no graph anomalies detected
800076E90,0.1,isolated micro-cluster (size=7)
8000776E0,0.0,baseline structural profile; no graph anomalies detected
800077AA0,0.0,baseline structural profile; no graph anomalies detected
800078B20,0.0,baseline structural profile; no graph anomalies detected
800078E70,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800078F80,0.0,baseline structural profile; no graph anomalies detected
800079600,0.0,baseline structural profile; no graph anomalies detected
800079650,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800079C00,0.0,baseline structural profile; no graph anomalies detected
80007A1D0,0.2721,topological outlier in Node2Vec space (DBSCAN outlier)
80007AA30,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80007BF00,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80007C2C0,0.0,baseline structural profile; no graph anomalies detected
80007C540,0.0,baseline structural profile; no graph anomalies detected
80007C890,0.0,baseline structural profile; no graph anomalies detected
80007D510,0.0,baseline structural profile; no graph anomalies detected
80007E0F0,0.0,baseline structural profile; no graph anomalies detected
80007E510,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80007E720,0.0,baseline structural profile; no graph anomalies detected
80007EA70,0.0,baseline structural profile; no graph anomalies detected
80007F290,0.0,baseline structural profile; no graph anomalies detected
80007F8C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80007FDD0,0.0,baseline structural profile; no graph anomalies detected
8000803F0,0.0,baseline structural profile; no graph anomalies detected
800080670,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800080880,0.0,baseline structural profile; no graph anomalies detected
800081670,0.0,baseline structural profile; no graph anomalies detected
8000816C0,0.25,"high flow betweenness centrality (bc=3.11e-06); high transaction volume (in=14, out=124)"
800081920,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800081970,0.0,baseline structural profile; no graph anomalies detected
800081CA0,0.0,baseline structural profile; no graph anomalies detected
800082060,0.0,baseline structural profile; no graph anomalies detected
8000823F0,0.0,baseline structural profile; no graph anomalies detected
800082630,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800082B40,0.0,baseline structural profile; no graph anomalies detected
800082ED0,0.0,baseline structural profile; no graph anomalies detected
800083220,0.0,baseline structural profile; no graph anomalies detected
8000837F0,0.1,isolated micro-cluster (size=5)
800083E30,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000841A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800084E50,0.0,baseline structural profile; no graph anomalies detected
8000851A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800085BF0,0.6011,"participates in circular transfer cycle; high flow betweenness centrality (bc=1.85e-06); high transaction volume (in=37, out=176)"
8000866B0,0.0,baseline structural profile; no graph anomalies detected
800086DC0,0.0,baseline structural profile; no graph anomalies detected
800087390,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800087A50,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800087DA0,0.0,baseline structural profile; no graph anomalies detected
800088440,0.0,baseline structural profile; no graph anomalies detected
800088EB0,0.0,baseline structural profile; no graph anomalies detected
8000890A0,0.0,baseline structural profile; no graph anomalies detected
80008A071,0.0,baseline structural profile; no graph anomalies detected
80008A3F0,0.1,isolated micro-cluster (size=5)
80008A610,0.0,baseline structural profile; no graph anomalies detected
80008A830,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80008AA20,0.0,baseline structural profile; no graph anomalies detected
80008AC30,0.0,baseline structural profile; no graph anomalies detected
80008AEB0,0.0,baseline structural profile; no graph anomalies detected
80008AF00,0.0,baseline structural profile; no graph anomalies detected
80008B0F0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80008B2E0,0.0,baseline structural profile; no graph anomalies detected
80008BA40,0.0,baseline structural profile; no graph anomalies detected
80008BD30,0.0,baseline structural profile; no graph anomalies detected
80008C690,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80008C980,0.0,baseline structural profile; no graph anomalies detected
80008DDF0,0.1315,isolated micro-cluster (size=8)
80008E500,0.0,baseline structural profile; no graph anomalies detected
80008E550,0.0,baseline structural profile; no graph anomalies detected
80008E7B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80008F6B0,0.0,baseline structural profile; no graph anomalies detected
80008FA70,0.0,baseline structural profile; no graph anomalies detected
80008FE30,0.0,baseline structural profile; no graph anomalies detected
800090560,0.0,baseline structural profile; no graph anomalies detected
800090F60,0.2405,topological outlier in Node2Vec space (DBSCAN outlier)
800091320,0.0,baseline structural profile; no graph anomalies detected
8000915E0,0.0,baseline structural profile; no graph anomalies detected
8000919A0,0.0,baseline structural profile; no graph anomalies detected
800091C60,0.0,baseline structural profile; no graph anomalies detected
800091EE0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000924D0,0.1,isolated micro-cluster (size=5)
800092E40,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000934A0,0.1,isolated micro-cluster (size=7)
800093890,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800093C80,0.434,participates in circular transfer cycle; elevated clustering coefficient (cc=0.500)
800093EE0,0.0,baseline structural profile; no graph anomalies detected
800094540,0.0,baseline structural profile; no graph anomalies detected
800094FC0,0.2721,topological outlier in Node2Vec space (DBSCAN outlier)
8000966F0,0.0,baseline structural profile; no graph anomalies detected
800096DD0,0.0,baseline structural profile; no graph anomalies detected
800096FE0,0.0,baseline structural profile; no graph anomalies detected
800097520,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800097FF0,0.1,isolated micro-cluster (size=10)
800098200,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000991D0,0.0,baseline structural profile; no graph anomalies detected
800099520,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800099810,0.0,baseline structural profile; no graph anomalies detected
800099E80,0.0,baseline structural profile; no graph anomalies detected
80009A680,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80009A9D0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80009B0E0,0.0,baseline structural profile; no graph anomalies detected
80009B470,0.0,baseline structural profile; no graph anomalies detected
80009B830,0.0,baseline structural profile; no graph anomalies detected
8000B8AB0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000D63A0,0.1,isolated micro-cluster (size=7)
8000EBBB0,0.0,baseline structural profile; no graph anomalies detected
8000EBD30,0.1081,high flow betweenness centrality (bc=6.92e-07)
8000EBF70,0.1,isolated micro-cluster (size=10)
8000ECF50,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000ECF51,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000ED150,0.0,baseline structural profile; no graph anomalies detected
8000EDBB0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000EE9C0,0.0,baseline structural profile; no graph anomalies detected
8000EF3B0,0.0,baseline structural profile; no graph anomalies detected
8000F17D0,0.0,baseline structural profile; no graph anomalies detected
8000F1870,0.0,baseline structural profile; no graph anomalies detected
8000F1D30,0.1,isolated micro-cluster (size=7)
8000F3AB0,0.0,baseline structural profile; no graph anomalies detected
8000F42A0,0.0,baseline structural profile; no graph anomalies detected
8000F5030,0.0,baseline structural profile; no graph anomalies detected
8000F55D0,0.0,baseline structural profile; no graph anomalies detected
8000F65C0,0.0,baseline structural profile; no graph anomalies detected
8000F6850,0.0,baseline structural profile; no graph anomalies detected
8000F6BB0,0.0,baseline structural profile; no graph anomalies detected
8000F6C00,0.2,high flow betweenness centrality (bc=1.96e-06)
8000F7660,0.0,baseline structural profile; no graph anomalies detected
8000F7850,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8000F7C60,0.0,baseline structural profile; no graph anomalies detected
8000F8070,0.0,baseline structural profile; no graph anomalies detected
8000F85D0,0.0,baseline structural profile; no graph anomalies detected
8000FD480,0.1,isolated micro-cluster (size=8)
8000FE790,0.1,isolated micro-cluster (size=7)
800102DD0,0.0,baseline structural profile; no graph anomalies detected
800105730,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800105D30,0.0,baseline structural profile; no graph anomalies detected
800106D00,0.0,baseline structural profile; no graph anomalies detected
8001074F0,0.0,baseline structural profile; no graph anomalies detected
800108870,0.0,baseline structural profile; no graph anomalies detected
8001090A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8001099F0,0.0,baseline structural profile; no graph anomalies detected
80010B040,0.0,baseline structural profile; no graph anomalies detected
80010B900,0.0,baseline structural profile; no graph anomalies detected
80010BC70,0.0,baseline structural profile; no graph anomalies detected
80010C060,0.0,baseline structural profile; no graph anomalies detected
80010C2F0,0.0,baseline structural profile; no graph anomalies detected
80010C340,0.0,baseline structural profile; no graph anomalies detected
80010F7B0,0.0,baseline structural profile; no graph anomalies detected
8001117A0,0.0,baseline structural profile; no graph anomalies detected
800113DC0,0.0,baseline structural profile; no graph anomalies detected
800113FE0,0.0,baseline structural profile; no graph anomalies detected
800115570,0.0,baseline structural profile; no graph anomalies detected
800117FF0,0.0,baseline structural profile; no graph anomalies detected
800118660,0.0,baseline structural profile; no graph anomalies detected
8001193D0,0.0,baseline structural profile; no graph anomalies detected
800119BA0,0.0,baseline structural profile; no graph anomalies detected
80011AA30,0.0,baseline structural profile; no graph anomalies detected
80011CB60,0.1,isolated micro-cluster (size=9)
80011DEA0,0.0,baseline structural profile; no graph anomalies detected
80011E2A0,0.0,baseline structural profile; no graph anomalies detected
800126360,0.1,isolated micro-cluster (size=9)
8001290F0,0.0,baseline structural profile; no graph anomalies detected
80012E100,0.0,baseline structural profile; no graph anomalies detected
800131650,0.0,baseline structural profile; no graph anomalies detected
800134D30,0.0,baseline structural profile; no graph anomalies detected
8001364A0,0.0,baseline structural profile; no graph anomalies detected
800136AE0,0.0,baseline structural profile; no graph anomalies detected
80013AA10,0.0,baseline structural profile; no graph anomalies detected
80013E150,0.0,baseline structural profile; no graph anomalies detected
80013F130,0.0,baseline structural profile; no graph anomalies detected
800143F00,0.0,baseline structural profile; no graph anomalies detected
800146140,0.0,baseline structural profile; no graph anomalies detected
8001473E0,0.1,isolated micro-cluster (size=7)
8001495E0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80014C3E0,0.0,baseline structural profile; no graph anomalies detected
80014F7B0,0.0,baseline structural profile; no graph anomalies detected
800150F20,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8001523C0,0.0,baseline structural profile; no graph anomalies detected
8001547E0,0.1,isolated micro-cluster (size=7)
800155BB0,0.0,baseline structural profile; no graph anomalies detected
800155D50,0.1,isolated micro-cluster (size=10)
8001580D0,0.0,baseline structural profile; no graph anomalies detected
80015E3C0,0.0,baseline structural profile; no graph anomalies detected
80015F5D0,0.0,baseline structural profile; no graph anomalies detected
800164070,0.0,baseline structural profile; no graph anomalies detected
800164FC0,0.0,baseline structural profile; no graph anomalies detected
800165A30,0.0,baseline structural profile; no graph anomalies detected
80016CCE0,0.0,baseline structural profile; no graph anomalies detected
800172410,0.0,baseline structural profile; no graph anomalies detected
8001758B0,0.0,baseline structural profile; no graph anomalies detected
80018BA80,0.0,baseline structural profile; no graph anomalies detected
80018E990,0.35,participates in circular transfer cycle
80018F970,0.1,isolated micro-cluster (size=10)
800191A90,0.1,isolated micro-cluster (size=9)
800193420,0.0,baseline structural profile; no graph anomalies detected
800195070,0.0,baseline structural profile; no graph anomalies detected
8001998C0,0.0,baseline structural profile; no graph anomalies detected
80019A020,0.0,baseline structural profile; no graph anomalies detected
80019D2E0,0.0,baseline structural profile; no graph anomalies detected
8001A8460,0.0,baseline structural profile; no graph anomalies detected
8001A9700,0.0,baseline structural profile; no graph anomalies detected
8001AB940,0.0,baseline structural profile; no graph anomalies detected
8001B2A50,0.1,isolated micro-cluster (size=5)
8001B7060,0.0,baseline structural profile; no graph anomalies detected
8001BBEF0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8001BD460,0.1,isolated micro-cluster (size=7)
8001BDC90,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8001C3570,0.575,participates in circular transfer cycle; high flow betweenness centrality (bc=1.33e-06); elevated clustering coefficient (cc=0.167)
8001C6920,0.0,baseline structural profile; no graph anomalies detected
8001CA5C0,0.0,baseline structural profile; no graph anomalies detected
8001CE6C0,0.0,baseline structural profile; no graph anomalies detected
8001CF060,0.0,baseline structural profile; no graph anomalies detected
8001D6370,0.0,baseline structural profile; no graph anomalies detected
8001DAF70,0.0,baseline structural profile; no graph anomalies detected
8001DE1B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8001E1DE0,0.0,baseline structural profile; no graph anomalies detected
8001E34C0,0.45,"high flow betweenness centrality (bc=1.50e-06); topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=36, out=26)"
8001E37F0,0.0,baseline structural profile; no graph anomalies detected
8001E3CC0,0.0,baseline structural profile; no graph anomalies detected
8001E45D0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8001E89E0,0.1,isolated micro-cluster (size=10)
8001EF2E0,0.1,isolated micro-cluster (size=10)
80021ADE0,0.0,baseline structural profile; no graph anomalies detected
80021BEC0,0.0,baseline structural profile; no graph anomalies detected
80021DC50,0.0,baseline structural profile; no graph anomalies detected
80021F680,0.4,high flow betweenness centrality (bc=2.94e-06); topological outlier in Node2Vec space (DBSCAN outlier)
800228EC0,0.0,baseline structural profile; no graph anomalies detected
80022A3F0,0.0,baseline structural profile; no graph anomalies detected
80022B750,0.0,baseline structural profile; no graph anomalies detected
800232B60,0.0,baseline structural profile; no graph anomalies detected
800240B70,0.0,baseline structural profile; no graph anomalies detected
80024D950,0.0,baseline structural profile; no graph anomalies detected
80024EBB0,0.0,baseline structural profile; no graph anomalies detected
80024FF00,0.0,baseline structural profile; no graph anomalies detected
800250820,0.0,baseline structural profile; no graph anomalies detected
800254FD0,0.0,baseline structural profile; no graph anomalies detected
8002552F0,0.1,isolated micro-cluster (size=7)
800256CC0,0.1,isolated micro-cluster (size=5)
800256E00,0.1721,isolated micro-cluster (size=5)
800256EF0,0.1,isolated micro-cluster (size=5)
80025A740,0.1,isolated micro-cluster (size=10)
80026A5A0,0.4,"high flow betweenness centrality (bc=6.46e-06); isolated micro-cluster (size=9); multiple connected employees (2 internal contacts); high transaction volume (in=23, out=103)"
80026CDF0,0.1,isolated micro-cluster (size=10)
8002787E0,0.1,isolated micro-cluster (size=7)
8002807E0,0.0,baseline structural profile; no graph anomalies detected
8002A65C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8002C56D0,0.0,baseline structural profile; no graph anomalies detected
8002C7E80,0.1,isolated micro-cluster (size=9)
8002CE270,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8002ECFC0,0.0,baseline structural profile; no graph anomalies detected
800301780,0.0,baseline structural profile; no graph anomalies detected
800306AA0,0.0,baseline structural profile; no graph anomalies detected
800324420,0.0,baseline structural profile; no graph anomalies detected
8003278E0,0.1,isolated micro-cluster (size=8)
80034A780,0.0,baseline structural profile; no graph anomalies detected
80034DC00,0.1,isolated micro-cluster (size=6)
80035DA80,0.0,baseline structural profile; no graph anomalies detected
80035F420,0.35,"high flow betweenness centrality (bc=4.04e-06); isolated micro-cluster (size=7); high transaction volume (in=34, out=107)"
800378700,0.1,isolated micro-cluster (size=5)
800379860,0.0,baseline structural profile; no graph anomalies detected
80038A310,0.0,baseline structural profile; no graph anomalies detected
80038D0D0,0.0,baseline structural profile; no graph anomalies detected
80038E6F0,0.1,isolated micro-cluster (size=7)
800393D40,0.1,isolated micro-cluster (size=6)
80039CD50,0.045,baseline structural profile; no graph anomalies detected
8003A04C0,0.1,isolated micro-cluster (size=7)
8003A2200,0.0,baseline structural profile; no graph anomalies detected
8003A8A60,0.0,baseline structural profile; no graph anomalies detected
8003AC470,0.1,isolated micro-cluster (size=7)
8003AC471,0.1,isolated micro-cluster (size=5)
8003B9D30,0.0,baseline structural profile; no graph anomalies detected
8003BCBB0,0.0,baseline structural profile; no graph anomalies detected
8003BD920,0.1,isolated micro-cluster (size=8)
8003BDF60,0.45,participates in circular transfer cycle; isolated micro-cluster (size=8)
8003BE4B0,0.1,isolated micro-cluster (size=8)
8003BE730,0.1,isolated micro-cluster (size=8)
8003BF6E0,0.5761,participates in circular transfer cycle; high flow betweenness centrality (bc=8.07e-07); isolated micro-cluster (size=8)
8003C2210,0.0,baseline structural profile; no graph anomalies detected
8003C24D0,0.0,baseline structural profile; no graph anomalies detected
8003D1FC0,0.0,baseline structural profile; no graph anomalies detected
8003F7BD0,0.0,baseline structural profile; no graph anomalies detected
8003FBD00,0.1,isolated micro-cluster (size=9)
80040A220,0.0,baseline structural profile; no graph anomalies detected
800415B00,0.1,isolated micro-cluster (size=7)
8004162D0,0.0,baseline structural profile; no graph anomalies detected
80041DDA0,0.0,baseline structural profile; no graph anomalies detected
800425630,0.0,baseline structural profile; no graph anomalies detected
800432650,0.1,isolated micro-cluster (size=7)
800434550,0.0,baseline structural profile; no graph anomalies detected
80043A250,0.0,baseline structural profile; no graph anomalies detected
8004429F0,0.0,baseline structural profile; no graph anomalies detected
8004473E0,0.0,baseline structural profile; no graph anomalies detected
800456880,0.0,baseline structural profile; no graph anomalies detected
80045B7C0,0.1,isolated micro-cluster (size=10)
80045CEF0,0.0,baseline structural profile; no graph anomalies detected
800473570,0.0,baseline structural profile; no graph anomalies detected
80047E7B0,0.0,baseline structural profile; no graph anomalies detected
80047EED0,0.0,baseline structural profile; no graph anomalies detected
800489210,0.0,baseline structural profile; no graph anomalies detected
800489F60,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8004922D0,0.1,isolated micro-cluster (size=7)
80049A540,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8004AF800,0.0,baseline structural profile; no graph anomalies detected
8004B6050,0.0,baseline structural profile; no graph anomalies detected
8004C74E0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8004CF710,0.0,baseline structural profile; no graph anomalies detected
8004DC0A0,0.1,isolated micro-cluster (size=5)
8004FD2A0,0.1,isolated micro-cluster (size=7)
8004FE3E0,0.0,baseline structural profile; no graph anomalies detected
800506810,0.1,isolated micro-cluster (size=6)
800528510,0.0,baseline structural profile; no graph anomalies detected
80053CFC0,0.0,baseline structural profile; no graph anomalies detected
800545B00,0.0,baseline structural profile; no graph anomalies detected
8005486E0,0.0,baseline structural profile; no graph anomalies detected
800549E00,0.0,baseline structural profile; no graph anomalies detected
80054F8C0,0.1,isolated micro-cluster (size=7)
80054FC20,0.1,isolated micro-cluster (size=7)
800550920,0.1,isolated micro-cluster (size=7)
800559860,0.0,baseline structural profile; no graph anomalies detected
80055E260,0.1,isolated micro-cluster (size=8)
8005692B0,0.1721,isolated micro-cluster (size=7)
80056E5C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8005730D0,0.1,isolated micro-cluster (size=5)
8005814C0,0.0,baseline structural profile; no graph anomalies detected
800595290,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8005A0D10,0.0,baseline structural profile; no graph anomalies detected
8005A18F0,0.0,baseline structural profile; no graph anomalies detected
8005A1B80,0.0,baseline structural profile; no graph anomalies detected
8005AEB60,0.0,baseline structural profile; no graph anomalies detected
8005D3B30,0.1,isolated micro-cluster (size=6)
8005E4980,0.1,isolated micro-cluster (size=7)
8005E5940,0.1,isolated micro-cluster (size=7)
8005F5810,0.0,baseline structural profile; no graph anomalies detected
8005F7CD0,0.0,baseline structural profile; no graph anomalies detected
8005FD430,0.1,isolated micro-cluster (size=9)
80060E490,0.1,isolated micro-cluster (size=9)
800618D90,0.0,baseline structural profile; no graph anomalies detected
800619E80,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80061A630,0.1,isolated micro-cluster (size=8)
8006248A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800627410,0.0,baseline structural profile; no graph anomalies detected
800629A20,0.0,baseline structural profile; no graph anomalies detected
80063A800,0.1,isolated micro-cluster (size=7)
80063DE20,0.0,baseline structural profile; no graph anomalies detected
800645040,0.1,isolated micro-cluster (size=9)
8006498E0,0.0,baseline structural profile; no graph anomalies detected
80064AB30,0.0,baseline structural profile; no graph anomalies detected
800655BC0,0.0,baseline structural profile; no graph anomalies detected
80065E800,0.0,baseline structural profile; no graph anomalies detected
800668890,0.1,isolated micro-cluster (size=7)
80066D000,0.0,baseline structural profile; no graph anomalies detected
800681A40,0.1,isolated micro-cluster (size=6)
800688D00,0.0,baseline structural profile; no graph anomalies detected
80068E7D0,0.2221,"isolated micro-cluster (size=7); high transaction volume (in=17, out=59)"
80068F400,0.0,baseline structural profile; no graph anomalies detected
