alert_id,account_id,role_in_pattern
ALERT_0012,ACCT_00137,intermediary
ALERT_0012,ACCT_01134,final_receiver
ALERT_0013,ACCT_01794,hub_sender
ALERT_0013,ACCT_00754,receiver
ALERT_0013,ACCT_00396,receiver
ALERT_0013,ACCT_00953,receiver
ALERT_0013,ACCT_01461,receiver
ALERT_0013,ACCT_00465,receiver
ALERT_0013,ACCT_00127,receiver
ALERT_0013,ACCT_01447,receiver
ALERT_0014,ACCT_00075,hub_sender
ALERT_0014,ACCT_01607,receiver
ALERT_0014,ACCT_00911,receiver
ALERT_0014,ACCT_00757,receiver
ALERT_0014,ACCT_00841,receiver
ALERT_0014,ACCT_00093,receiver
ALERT_0014,ACCT_00306,receiver
ALERT_0015,ACCT_00316,hub_sender
ALERT_0015,ACCT_00929,receiver
ALERT_0015,ACCT_01893,receiver
ALERT_0015,ACCT_00423,receiver
ALERT_0015,ACCT_01521,receiver
ALERT_0015,ACCT_00548,receiver
ALERT_0015,ACCT_00530,receiver
ALERT_0016,ACCT_01713,hub_sender
ALERT_0016,ACCT_01148,receiver
ALERT_0016,ACCT_01439,receiver
ALERT_0016,ACCT_01926,receiver
ALERT_0016,ACCT_01367,receiver
ALERT_0016,ACCT_01982,receiver
ALERT_0016,ACCT_01489,receiver
ALERT_0016,ACCT_00499,receiver
ALERT_0016,ACCT_01956,receiver
ALERT_0016,ACCT_01366,receiver
ALERT_0017,ACCT_00718,hub_sender
ALERT_0017,ACCT_00773,receiver
ALERT_0017,ACCT_01954,receiver
ALERT_0017,ACCT_01625,receiver
ALERT_0017,ACCT_00121,receiver
ALERT_0018,ACCT_01805,hub_sender
ALERT_0018,ACCT_00918,receiver
ALERT_0018,ACCT_01179,receiver
ALERT_0018,ACCT_01448,receiver
ALERT_0018,ACCT_01506,receiver
ALERT_0019,ACCT_01409,hub_sender
ALERT_0019,ACCT_00603,receiver
ALERT_0019,ACCT_00432,receiver
ALERT_0020,ACCT_01911,hub_sender
ALERT_0020,ACCT_01771,receiver
ALERT_0020,ACCT_00344,receiver
ALERT_0020,ACCT_01738,receiver
ALERT_0020,ACCT_01811,receiver
ALERT_0021,ACCT_00259,hub_sender
ALERT_0021,ACCT_00688,receiver
ALERT_0021,ACCT_00858,receiver
ALERT_0021,ACCT_00111,receiver
ALERT_0021,ACCT_01692,receiver
ALERT_0021,ACCT_00580,receiver
ALERT_0021,ACCT_00787,receiver
ALERT_0021,ACCT_01653,receiver
ALERT_0021,ACCT_00958,receiver
ALERT_0021,ACCT_01826,receiver
ALERT_0022,ACCT_00587,hub_sender
ALERT_0022,ACCT_01344,receiver
ALERT_0022,ACCT_00009,receiver
ALERT_0022,ACCT_00665,receiver
ALERT_0022,ACCT_00480,receiver
ALERT_0022,ACCT_01508,receiver
ALERT_0022,ACCT_01301,receiver
ALERT_0022,ACCT_00367,receiver
ALERT_0023,ACCT_00928,hub_sender
ALERT_0023,ACCT_00460,receiver
ALERT_0023,ACCT_00383,receiver
ALERT_0023,ACCT_00238,receiver
ALERT_0023,ACCT_00458,receiver
ALERT_0023,ACCT_00775,receiver
ALERT_0023,ACCT_01589,receiver
ALERT_0023,ACCT_01652,receiver
ALERT_0024,ACCT_00074,hub_sender
ALERT_0024,ACCT_01152,receiver
ALERT_0024,ACCT_00817,receiver
ALERT_0024,ACCT_01089,receiver
ALERT_0024,ACCT_01010,receiver
ALERT_0024,ACCT_01822,receiver
ALERT_0024,ACCT_01634,receiver
ALERT_0024,ACCT_00547,receiver
ALERT_0025,ACCT_01363,hub_sender
ALERT_0025,ACCT_00709,receiver
ALERT_0025,ACCT_00129,receiver
ALERT_0025,ACCT_00750,receiver
ALERT_0025,ACCT_00179,receiver
ALERT_0025,ACCT_00989,receiver
ALERT_0025,ACCT_01640,receiver
ALERT_0025,ACCT_01560,receiver
ALERT_0026,ACCT_00867,hub_sender
ALERT_0026,ACCT_01409,receiver
ALERT_0026,ACCT_00327,receiver
ALERT_0026,ACCT_00230,receiver
ALERT_0026,ACCT_00405,receiver
ALERT_0026,ACCT_01921,receiver
ALERT_0026,ACCT_00551,receiver
ALERT_0026,ACCT_00854,receiver
ALERT_0026,ACCT_01564,receiver
ALERT_0026,ACCT_00183,receiver
ALERT_0027,ACCT_01586,hub_sender
ALERT_0027,ACCT_01721,receiver
ALERT_0027,ACCT_01138,receiver
ALERT_0028,ACCT_01658,hub_receiver
ALERT_0028,ACCT_00279,sender
ALERT_0028,ACCT_01832,sender
ALERT_0028,ACCT_00823,sender
ALERT_0029,ACCT_00676,hub_receiver
ALERT_0029,ACCT_01747,sender
ALERT_0029,ACCT_01341,sender
ALERT_0030,ACCT_01459,hub_receiver
ALERT_0030,ACCT_01719,sender
ALERT_0030,ACCT_00052,sender
ALERT_0030,ACCT_00697,sender
ALERT_0030,ACCT_00069,sender
ALERT_0030,ACCT_01133,sender
ALERT_0030,ACCT_01718,sender
ALERT_0031,ACCT_00200,hub_receiver
ALERT_0031,ACCT_00842,sender
ALERT_0031,ACCT_01437,sender
ALERT_0031,ACCT_00850,sender
ALERT_0032,ACCT_00296,hub_receiver
ALERT_0032,ACCT_01036,sender
ALERT_0032,ACCT_00236,sender
ALERT_0032,ACCT_00306,sender
ALERT_0032,ACCT_01446,sender
ALERT_0032,ACCT_01404,sender
ALERT_0032,ACCT_01483,sender
ALERT_0033,ACCT_00001,hub_receiver
ALERT_0033,ACCT_00502,sender
ALERT_0033,ACCT_00459,sender
ALERT_0033,ACCT_00162,sender
ALERT_0033,ACCT_01483,sender
ALERT_0034,ACCT_00047,hub_receiver
ALERT_0034,ACCT_00585,sender
ALERT_0034,ACCT_01177,sender
ALERT_0034,ACCT_01278,sender
ALERT_0034,ACCT_00708,sender
ALERT_0034,ACCT_01740,sender
ALERT_0035,ACCT_01627,hub_receiver
ALERT_0035,ACCT_01818,sender
ALERT_0035,ACCT_00267,sender
ALERT_0035,ACCT_01575,sender
ALERT_0035,ACCT_00261,sender
ALERT_0035,ACCT_01735,sender
ALERT_0036,ACCT_01004,hub_receiver
ALERT_0036,ACCT_00515,sender
ALERT_0036,ACCT_00657,sender
ALERT_0036,ACCT_01115,sender
ALERT_0036,ACCT_00813,sender
ALERT_0036,ACCT_00243,sender
ALERT_0036,ACCT_01033,sender
ALERT_0036,ACCT_01528,sender
ALERT_0037,ACCT_00764,hub_receiver
ALERT_0037,ACCT_00781,sender
ALERT_0037,ACCT_01256,sender
ALERT_0037,ACCT_00402,sender
ALERT_0037,ACCT_00365,sender
ALERT_0037,ACCT_00759,sender
ALERT_0037,ACCT_01361,sender
ALERT_0037,ACCT_01875,sender
ALERT_0037,ACCT_01225,sender
ALERT_0038,ACCT_01831,hub_receiver
ALERT_0038,ACCT_01053,sender
ALERT_0038,ACCT_00037,sender
ALERT_0038,ACCT_00181,sender
ALERT_0038,ACCT_01764,sender
ALERT_0039,ACCT_00458,hub_receiver
ALERT_0039,ACCT_01592,sender
ALERT_0039,ACCT_00748,sender
ALERT_0039,ACCT_01366,sender
ALERT_0039,ACCT_00438,sender
ALERT_0039,ACCT_00569,sender
ALERT_0039,ACCT_00196,sender
ALERT_0039,ACCT_01803,sender
ALERT_0039,ACCT_01719,sender
ALERT_0039,ACCT_01316,sender
ALERT_0040,ACCT_00605,hub_receiver
ALERT_0040,ACCT_00004,sender
ALERT_0040,ACCT_01130,sender
ALERT_0041,ACCT_01623,hub_receiver
ALERT_0041,ACCT_00174,sender
ALERT_0041,ACCT_01316,sender
ALERT_0042,ACCT_01775,hub_receiver
ALERT_0042,ACCT_01912,sender
ALERT_0042,ACCT_01530,sender
ALERT_0042,ACCT_01910,sender
ALERT_0042,ACCT_00579,sender
ALERT_0042,ACCT_00292,sender
ALERT_0043,ACCT_00219,hub
ALERT_0043,ACCT_01349,gatherer
ALERT_0043,ACCT_01648,gatherer
ALERT_0043,ACCT_01068,gatherer
ALERT_0043,ACCT_01077,scatterer
ALERT_0043,ACCT_01797,scatterer
ALERT_0043,ACCT_00706,scatterer
ALERT_0044,ACCT_01553,hub
ALERT_0044,ACCT_01533,gatherer
ALERT_0044,ACCT_01630,gatherer
ALERT_0044,ACCT_01367,scatterer
ALERT_0044,ACCT_00585,scatterer
ALERT_0045,ACCT_01398,hub
ALERT_0045,ACCT_01208,gatherer
ALERT_0045,ACCT_00364,gatherer
ALERT_0045,ACCT_01078,gatherer
ALERT_0045,ACCT_00698,scatterer
ALERT_0045,ACCT_00495,scatterer
ALERT_0045,ACCT_00268,scatterer
ALERT_0045,ACCT_01322,scatterer
ALERT_0046,ACCT_01529,hub
ALERT_0046,ACCT_01884,gatherer
ALERT_0046,ACCT_00161,gatherer
ALERT_0046,ACCT_01789,gatherer
ALERT_0046,ACCT_00461,gatherer
ALERT_0046,ACCT_01782,gatherer
ALERT_0046,ACCT_01176,scatterer
ALERT_0046,ACCT_00667,scatterer
ALERT_0046,ACCT_01267,scatterer
ALERT_0046,ACCT_01472,scatterer
ALERT_0046,ACCT_00596,scatterer
ALERT_0047,ACCT_01450,hub
ALERT_0047,ACCT_00981,gatherer
ALERT_0047,ACCT_01135,gatherer
ALERT_0047,ACCT_01285,scatterer
ALERT_0047,ACCT_01294,scatterer
ALERT_0047,ACCT_00315,scatterer
ALERT_0048,ACCT_00655,hub
ALERT_0048,ACCT_00176,gatherer
ALERT_0048,ACCT_00660,gatherer
ALERT_0048,ACCT_01001,gatherer
ALERT_0048,ACCT_00663,scatterer
ALERT_0048,ACCT_01201,scatterer
ALERT_0048,ACCT_00697,scatterer
ALERT_0049,ACCT_00321,hub
ALERT_0049,ACCT_01350,gatherer
ALERT_0049,ACCT_00358,gatherer
ALERT_0049,ACCT_00991,gatherer
ALERT_0049,ACCT_01757,gatherer
ALERT_0049,ACCT_01380,scatterer
ALERT_0049,ACCT_01843,scatterer
ALERT_0049,ACCT_01313,scatterer
ALERT_0049,ACCT_00601,scatterer
ALERT_0050,ACCT_00949,hub
ALERT_0050,ACCT_00765,gatherer
ALERT_0050,ACCT_01384,gatherer
ALERT_0050,ACCT_00917,gatherer
ALERT_0050,ACCT_01393,gatherer
ALERT_0050,ACCT_00992,gatherer
ALERT_0050,ACCT_01020,scatterer
ALERT_0050,ACCT_00910,scatterer
ALERT_0050,ACCT_00436,scatterer
ALERT_0050,ACCT_00514,scatterer
ALERT_0050,ACCT_01850,scatterer
ALERT_0051,ACCT_01238,hub
ALERT_0051,ACCT_01563,gatherer
ALERT_0051,ACCT_01019,gatherer
ALERT_0051,ACCT_01706,gatherer
ALERT_0051,ACCT_01370,gatherer
ALERT_0051,ACCT_00560,gatherer
ALERT_0051,ACCT_00972,scatterer
ALERT_0051,ACCT_00311,scatterer
ALERT_0051,ACCT_01626,scatterer
ALERT_0051,ACCT_01730,scatterer
ALERT_0051,ACCT_01839,scatterer
ALERT_0052,ACCT_00361,hub
ALERT_0052,ACCT_01071,gatherer
ALERT_0052,ACCT_01411,gatherer
ALERT_0052,ACCT_00459,gatherer
ALERT_0052,ACCT_01337,gatherer
ALERT_0052,ACCT_01220,gatherer
ALERT_0052,ACCT_00610,scatterer
ALERT_0052,ACCT_01663,scatterer
ALERT_0052,ACCT_00945,scatterer
ALERT_0052,ACCT_01723,scatterer
ALERT_0052,ACCT_00791,scatterer
ALERT_0052,ACCT_00549,scatterer
