account_id,account_type,initial_balance,bank_id,is_sar
ACCT_00073,corporate,216094.54,BANK_D,0
ACCT_00074,business,234045.31,BANK_A,1
ACCT_00075,corporate,327074.29,BANK_A,1
ACCT_00076,individual,201908.02,BANK_C,0
ACCT_00077,individual,125079.51,BANK_B,0
ACCT_00078,corporate,224858.16,BANK_D,0
ACCT_00079,individual,139994.03,BANK_B,0
ACCT_00080,individual,222122.24,BANK_E,0
ACCT_00081,individual,26243.58,BANK_E,0
ACCT_00082,individual,484529.13,BANK_B,0
ACCT_00083,individual,203800.61,BANK_D,0
ACCT_00084,individual,432460.55,BANK_A,0
ACCT_00085,individual,190107.59,BANK_D,0
ACCT_00086,business,463332.52,BANK_D,0
ACCT_00087,business,212080.74,BANK_E,0
ACCT_00088,corporate,359485.73,BANK_B,0
ACCT_00089,individual,149057.2,BANK_A,0
ACCT_00090,corporate,368132.85,BANK_A,0
ACCT_00091,corporate,157488.8,BANK_A,0
ACCT_00092,corporate,238917.47,BANK_E,0
ACCT_00093,individual,29382.91,BANK_E,1
ACCT_00094,individual,425819.93,BANK_A,0
ACCT_00095,corporate,34912.47,BANK_B,0
ACCT_00096,business,60823.42,BANK_E,0
ACCT_00097,individual,289880.61,BANK_A,0
ACCT_00098,corporate,41909.72,BANK_E,0
ACCT_00099,corporate,261868.58,BANK_C,0
ACCT_00100,individual,335193.26,BANK_C,0
ACCT_00101,individual,133541.64,BANK_B,0
ACCT_00102,corporate,323104.89,BANK_D,0
ACCT_00103,business,464580.15,BANK_A,0
ACCT_00104,individual,229684.48,BANK_E,0
ACCT_00105,individual,37557.1,BANK_B,0
ACCT_00106,corporate,133335.01,BANK_C,0
ACCT_00107,individual,439755.85,BANK_C,0
ACCT_00108,business,79715.67,BANK_E,0
ACCT_00109,corporate,151956.05,BANK_E,0
ACCT_00110,individual,334263.74,BANK_E,0
ACCT_00111,business,465946.26,BANK_A,1
ACCT_00112,individual,132968.49,BANK_A,0
ACCT_00113,corporate,277058.6,BANK_C,0
ACCT_00114,business,302810.08,BANK_C,0
ACCT_00115,individual,344061.07,BANK_C,0
ACCT_00116,corporate,244777.39,BANK_A,0
ACCT_00117,individual,317507.94,BANK_C,0
ACCT_00118,individual,2769.3,BANK_B,0
ACCT_00119,corporate,489919.18,BANK_B,0
ACCT_00120,corporate,221475.92,BANK_D,0
ACCT_00121,corporate,5825.18,BANK_A,1
ACCT_00122,corporate,452060.36,BANK_E,0
ACCT_00123,individual,417462.91,BANK_E,0
ACCT_00124,corporate,74898.8,BANK_B,0
ACCT_00125,individual,154820.92,BANK_A,0
ACCT_00126,business,105828.19,BANK_B,0
ACCT_00127,corporate,52294.02,BANK_E,1
ACCT_00128,business,486944.67,BANK_B,0
ACCT_00129,individual,432438.24,BANK_B,1
ACCT_00130,business,13368.39,BANK_C,0
ACCT_00131,business,401315.33,BANK_B,0
ACCT_00132,business,80439.72,BANK_A,0
ACCT_00133,business,436211.22,BANK_D,0
ACCT_00134,individual,100586.84,BANK_D,0
ACCT_00135,business,153290.24,BANK_B,0
ACCT_00136,individual,12808.55,BANK_B,0
ACCT_00137,business,164802.71,BANK_A,1
ACCT_00138,business,176221.92,BANK_E,0
ACCT_00139,business,340079.54,BANK_E,0
ACCT_00140,business,469679.33,BANK_A,0
ACCT_00141,business,90105.34,BANK_C,0
ACCT_00142,individual,55092.87,BANK_D,0
ACCT_00143,business,364543.99,BANK_C,0
ACCT_00144,business,303498.22,BANK_E,0
ACCT_00145,individual,193212.52,BANK_E,0
ACCT_00146,individual,128106.53,BANK_D,0
ACCT_00147,individual,260440.25,BANK_E,0
ACCT_00148,corporate,359995.57,BANK_B,0
ACCT_00149,business,216217.4,BANK_C,0
ACCT_00150,corporate,157643.91,BANK_A,0
ACCT_00151,corporate,450123.37,BANK_E,0
ACCT_00152,business,333779.56,BANK_C,0
ACCT_00153,business,348907.0,BANK_E,0
ACCT_00154,individual,96728.21,BANK_D,0
ACCT_00155,corporate,374319.15,BANK_B,0
ACCT_00156,corporate,284983.52,BANK_D,0
ACCT_00157,corporate,417028.86,BANK_C,0
ACCT_00158,business,105881.16,BANK_E,0
ACCT_00159,corporate,327698.11,BANK_D,0
ACCT_00160,business,221637.74,BANK_B,0
ACCT_00161,corporate,237119.91,BANK_B,1
ACCT_00162,corporate,43312.97,BANK_E,1
ACCT_00163,corporate,316837.49,BANK_C,0
ACCT_00164,individual,409393.31,BANK_B,0
ACCT_00165,corporate,155899.31,BANK_B,0
ACCT_00166,individual,13188.27,BANK_B,0
ACCT_00167,business,306025.71,BANK_A,0
ACCT_00168,business,207806.06,BANK_E,0
ACCT_00169,individual,359454.61,BANK_D,0
ACCT_00170,business,200426.78,BANK_B,0
ACCT_00171,corporate,344123.58,BANK_A,0
ACCT_00172,business,110201.73,BANK_E,0
ACCT_00173,business,26058.97,BANK_B,0
ACCT_00174,individual,228774.45,BANK_D,1
ACCT_00175,corporate,266034.81,BANK_E,0
ACCT_00176,corporate,159331.68,BANK_D,1
ACCT_00177,corporate,407688.25,BANK_E,0
ACCT_00178,business,415454.02,BANK_E,0
ACCT_00179,business,448706.84,BANK_D,1
ACCT_00180,business,130336.58,BANK_B,0
ACCT_00181,corporate,139378.37,BANK_E,1
ACCT_00182,business,313747.47,BANK_C,0
ACCT_00183,business,39664.19,BANK_C,1
ACCT_00184,individual,136585.84,BANK_C,0
ACCT_00185,corporate,41208.25,BANK_B,0
ACCT_00186,individual,192134.61,BANK_B,0
ACCT_00187,corporate,107762.49,BANK_D,0
ACCT_00188,business,166109.81,BANK_D,0
ACCT_00189,business,32070.59,BANK_D,0
ACCT_00190,business,452514.4,BANK_E,0
ACCT_00191,corporate,10746.45,BANK_E,0
ACCT_00192,business,239012.89,BANK_C,0
ACCT_00193,business,376984.09,BANK_D,0
ACCT_00194,corporate,374010.32,BANK_E,0
ACCT_00195,corporate,449007.86,BANK_D,0
ACCT_00196,individual,137194.72,BANK_D,1
ACCT_00197,individual,195039.74,BANK_D,0
ACCT_00198,corporate,83357.32,BANK_D,0
ACCT_00199,individual,490380.27,BANK_E,0
ACCT_00200,individual,453557.5,BANK_E,1
ACCT_00201,corporate,331836.88,BANK_A,0
ACCT_00202,corporate,214877.77,BANK_D,0
ACCT_00203,individual,26092.03,BANK_D,0
ACCT_00204,business,106618.48,BANK_C,0
ACCT_00205,business,380853.62,BANK_D,0
ACCT_00206,business,376252.9,BANK_D,0
ACCT_00207,business,417620.55,BANK_D,0
ACCT_00208,individual,374763.11,BANK_A,0
ACCT_00209,business,112886.86,BANK_A,0
ACCT_00210,corporate,21088.81,BANK_A,0
ACCT_00211,individual,100480.98,BANK_A,0
ACCT_00212,corporate,77038.79,BANK_B,0
ACCT_00213,business,335059.96,BANK_E,0
ACCT_00214,individual,233051.96,BANK_C,0
ACCT_00215,business,84726.78,BANK_E,0
ACCT_00216,corporate,359460.26,BANK_B,0
ACCT_00217,business,54941.28,BANK_A,0
ACCT_00218,business,288322.57,BANK_D,0
ACCT_00219,business,470793.83,BANK_B,1
ACCT_00220,individual,296456.83,BANK_B,0
ACCT_00221,individual,348899.31,BANK_C,0
ACCT_00222,corporate,300605.4,BANK_A,0
ACCT_00223,corporate,391535.04,BANK_C,0
ACCT_00224,corporate,214760.63,BANK_C,0
ACCT_00225,individual,253474.43,BANK_C,0
ACCT_00226,individual,424938.24,BANK_D,0
ACCT_00227,individual,217328.18,BANK_C,0
ACCT_00228,corporate,445895.93,BANK_D,0
ACCT_00229,corporate,77342.58,BANK_B,0
ACCT_00230,corporate,261351.63,BANK_C,1
ACCT_00231,corporate,404291.41,BANK_E,0
ACCT_00232,business,232972.01,BANK_E,0
ACCT_00233,business,161829.99,BANK_B,0
ACCT_00234,individual,140185.2,BANK_D,0
ACCT_00235,individual,375487.66,BANK_E,0
ACCT_00236,corporate,334426.05,BANK_C,1
ACCT_00237,individual,247658.95,BANK_C,0
ACCT_00238,individual,244287.42,BANK_C,1
ACCT_00239,business,170829.08,BANK_E,0
ACCT_00240,corporate,440173.57,BANK_E,0
ACCT_00241,individual,258797.0,BANK_B,0
ACCT_00242,individual,121436.67,BANK_D,0
ACCT_00243,business,278032.93,BANK_B,1
ACCT_00244,corporate,238570.46,BANK_D,0
ACCT_00245,business,396673.5,BANK_A,0
ACCT_00246,business,111576.6,BANK_B,0
ACCT_00247,business,332316.05,BANK_C,0
ACCT_00248,business,277183.0,BANK_C,0
ACCT_00249,business,498319.1,BANK_E,0
ACCT_00250,business,176553.45,BANK_D,0
ACCT_00251,business,154004.87,BANK_B,0
ACCT_00252,individual,360920.88,BANK_C,0
ACCT_00253,individual,371697.65,BANK_B,0
ACCT_00254,individual,108975.94,BANK_D,0
ACCT_00255,business,362567.92,BANK_E,0
ACCT_00256,corporate,142216.35,BANK_A,0
ACCT_00257,individual,148826.99,BANK_C,0
ACCT_00258,individual,151831.53,BANK_E,0
ACCT_00259,individual,137881.35,BANK_A,1
ACCT_00260,corporate,146776.19,BANK_B,0
ACCT_00261,corporate,434362.14,BANK_D,1
ACCT_00262,individual,436487.15,BANK_E,0
ACCT_00263,business,235229.08,BANK_D,1
ACCT_00264,business,92997.47,BANK_A,0
ACCT_00265,business,470590.73,BANK_D,0
ACCT_00266,individual,411235.71,BANK_D,0
ACCT_00267,business,37967.0,BANK_A,1
ACCT_00268,individual,75449.59,BANK_E,1
ACCT_00269,business,43505.27,BANK_B,0
ACCT_00270,individual,279478.44,BANK_D,0
ACCT_00271,corporate,298467.3,BANK_E,0
ACCT_00272,individual,388071.08,BANK_D,0
ACCT_00273,business,454343.68,BANK_C,0
ACCT_00274,corporate,495025.6,BANK_C,0
ACCT_00275,corporate,310892.63,BANK_E,0
ACCT_00276,corporate,50517.55,BANK_B,0
ACCT_00277,corporate,106301.57,BANK_A,0
ACCT_00278,individual,120692.72,BANK_E,1
ACCT_00279,individual,79109.78,BANK_D,1
ACCT_00280,business,344996.2,BANK_D,0
ACCT_00281,business,17287.29,BANK_C,0
ACCT_00282,corporate,142076.47,BANK_D,0
ACCT_00283,individual,344005.08,BANK_C,0
ACCT_00284,corporate,295305.01,BANK_B,0
ACCT_00285,business,58273.37,BANK_B,0
ACCT_00286,corporate,75345.71,BANK_C,0
ACCT_00287,individual,36633.51,BANK_B,0
ACCT_00288,business,297926.97,BANK_E,0
ACCT_00289,business,220137.57,BANK_D,0
ACCT_00290,corporate,152741.5,BANK_D,0
ACCT_00291,business,250735.62,BANK_D,0
ACCT_00292,business,41140.48,BANK_A,1
ACCT_00293,business,367532.43,BANK_E,0
ACCT_00294,business,13906.58,BANK_B,0
ACCT_00295,corporate,418143.35,BANK_E,0
ACCT_00296,corporate,475442.35,BANK_C,1
ACCT_00297,corporate,21075.6,BANK_B,0
ACCT_00298,business,259962.96,BANK_D,0
ACCT_00299,business,91563.08,BANK_E,0
ACCT_00300,business,317757.58,BANK_D,0
ACCT_00301,individual,235535.19,BANK_D,0
ACCT_00302,business,161208.07,BANK_A,0
ACCT_00303,individual,165572.03,BANK_D,0
ACCT_00304,business,331629.18,BANK_D,0
ACCT_00305,corporate,19311.87,BANK_A,0
ACCT_00306,business,126947.03,BANK_A,1
ACCT_00307,business,432590.38,BANK_A,0
ACCT_00308,corporate,434814.37,BANK_D,0
ACCT_00309,business,28047.84,BANK_E,0
ACCT_00310,business,311694.3,BANK_D,0
ACCT_00311,corporate,221578.44,BANK_A,1
ACCT_00312,individual,134261.06,BANK_B,0
ACCT_00313,business,219619.93,BANK_D,0
ACCT_00314,individual,15405.85,BANK_E,0
ACCT_00315,individual,355181.63,BANK_C,1
ACCT_00316,corporate,7823.56,BANK_D,1
ACCT_00317,individual,113125.63,BANK_A,0
ACCT_00318,business,473583.31,BANK_B,0
ACCT_00319,business,466393.88,BANK_C,0
ACCT_00320,corporate,353000.4,BANK_D,0
ACCT_00321,business,490142.07,BANK_B,1
ACCT_00322,business,276081.27,BANK_D,0
ACCT_00323,individual,461012.21,BANK_E,0
ACCT_00324,corporate,439783.8,BANK_A,0
ACCT_00325,business,386564.89,BANK_D,0
ACCT_00326,business,467189.95,BANK_E,0
ACCT_00327,business,410454.19,BANK_C,1
ACCT_00328,corporate,149979.37,BANK_E,1
ACCT_00329,corporate,499452.26,BANK_D,0
ACCT_00330,individual,223827.15,BANK_D,0
ACCT_00331,business,166887.54,BANK_E,0
ACCT_00332,business,228216.96,BANK_C,0
ACCT_00333,individual,490406.54,BANK_B,0
ACCT_00334,corporate,192102.45,BANK_D,0
ACCT_00335,individual,159769.99,BANK_D,0
ACCT_00336,corporate,456801.65,BANK_D,0
ACCT_00337,business,494218.59,BANK_B,0
ACCT_00338,business,482447.39,BANK_B,0
ACCT_00339,corporate,482711.44,BANK_C,0
ACCT_00340,individual,437221.0,BANK_D,0
ACCT_00341,individual,263449.59,BANK_D,0
ACCT_00342,individual,361499.47,BANK_D,0
ACCT_00343,corporate,485008.44,BANK_A,0
ACCT_00344,business,390981.12,BANK_C,1
ACCT_00345,business,312006.44,BANK_D,0
ACCT_00346,corporate,41077.34,BANK_C,0
ACCT_00347,corporate,429811.75,BANK_D,0
ACCT_00348,business,313772.79,BANK_D,0
ACCT_00349,corporate,18913.65,BANK_A,0
ACCT_00350,individual,315949.35,BANK_C,0
ACCT_00351,individual,373636.42,BANK_D,0
ACCT_00352,individual,380424.48,BANK_A,0
ACCT_00353,business,84016.03,BANK_C,0
ACCT_00354,individual,23949.49,BANK_A,0
ACCT_00355,business,179873.21,BANK_D,0
ACCT_00356,individual,122854.52,BANK_D,0
ACCT_00357,corporate,341218.39,BANK_B,0
ACCT_00358,individual,88359.61,BANK_E,1
ACCT_00359,business,310235.47,BANK_B,0
ACCT_00360,business,456501.68,BANK_B,0
ACCT_00361,individual,231113.81,BANK_C,1
ACCT_00362,business,128408.03,BANK_A,0
ACCT_00363,business,450703.5,BANK_E,0
ACCT_00364,individual,37857.09,BANK_C,1
ACCT_00365,corporate,150277.97,BANK_D,1
ACCT_00366,corporate,125799.01,BANK_C,0
ACCT_00367,individual,499687.41,BANK_D,1
ACCT_00368,individual,119365.65,BANK_E,0
ACCT_00369,business,287831.15,BANK_C,0
ACCT_00370,individual,488994.3,BANK_D,0
ACCT_00371,business,5040.88,BANK_A,0
ACCT_00372,corporate,372840.9,BANK_C,0
ACCT_00373,individual,303925.43,BANK_C,0
ACCT_00374,individual,318672.32,BANK_E,0
ACCT_00375,business,339204.46,BANK_B,0
ACCT_00376,corporate,49484.8,BANK_A,0
ACCT_00377,business,394516.63,BANK_A,0
ACCT_00378,corporate,183065.76,BANK_B,0
ACCT_00379,individual,454904.28,BANK_C,0
ACCT_00380,corporate,208336.04,BANK_B,0
ACCT_00381,individual,393469.89,BANK_C,0
ACCT_00382,corporate,251395.59,BANK_C,0
ACCT_00383,individual,129228.07,BANK_D,1
ACCT_00384,business,373533.12,BANK_C,0
ACCT_00385,individual,234697.36,BANK_A,0
ACCT_00386,individual,377321.6,BANK_B,0
ACCT_00387,corporate,362384.14,BANK_D,0
ACCT_00388,corporate,183521.75,BANK_D,0
ACCT_00389,individual,132964.83,BANK_A,0
ACCT_00390,business,184924.24,BANK_C,0
ACCT_00391,corporate,191131.72,BANK_C,0
ACCT_00392,individual,337743.44,BANK_D,0
ACCT_00393,individual,310153.89,BANK_E,0
ACCT_00394,business,457712.7,BANK_B,0
ACCT_00395,corporate,32545.3,BANK_D,0
ACCT_00396,corporate,151792.9,BANK_D,1
ACCT_00397,individual,70748.73,BANK_A,0
ACCT_00398,business,497967.76,BANK_A,0
ACCT_00399,individual,118165.22,BANK_E,0
ACCT_00400,individual,194934.27,BANK_C,0
ACCT_00401,corporate,474741.0,BANK_E,0
ACCT_00402,business,294082.83,BANK_B,1
ACCT_00403,business,327806.03,BANK_D,0
ACCT_00404,corporate,204649.83,BANK_C,0
ACCT_00405,individual,345450.05,BANK_B,1
ACCT_00406,business,222903.23,BANK_B,0
ACCT_00407,business,50577.96,BANK_C,0
ACCT_00408,corporate,450946.41,BANK_C,0
ACCT_00409,individual,199671.68,BANK_B,0
ACCT_00410,individual,474556.38,BANK_D,0
ACCT_00411,individual,331721.6,BANK_E,1
ACCT_00412,individual,26238.68,BANK_C,0
ACCT_00413,individual,494421.63,BANK_E,0
ACCT_00414,individual,35236.47,BANK_E,1
ACCT_00415,individual,293605.16,BANK_B,0
ACCT_00416,business,387409.92,BANK_E,0
ACCT_00417,individual,139360.15,BANK_B,0
ACCT_00418,individual,270567.51,BANK_B,0
ACCT_00419,individual,330867.76,BANK_A,0
ACCT_00420,individual,8415.3,BANK_B,0
ACCT_00421,corporate,162561.96,BANK_B,0
ACCT_00422,business,27147.11,BANK_D,0
ACCT_00423,corporate,57711.0,BANK_A,1
ACCT_00424,business,224689.33,BANK_C,0
ACCT_00425,corporate,297239.34,BANK_D,0
ACCT_00426,corporate,111553.33,BANK_E,0
ACCT_00427,individual,363894.26,BANK_E,0
ACCT_00428,business,229563.22,BANK_A,0
ACCT_00429,individual,499294.79,BANK_D,0
ACCT_00430,business,343362.65,BANK_D,0
ACCT_00431,corporate,454940.71,BANK_A,0
ACCT_00432,individual,161733.8,BANK_B,1
ACCT_00433,individual,63969.6,BANK_E,1
ACCT_00434,corporate,293096.98,BANK_C,0
ACCT_00435,business,497319.25,BANK_E,0
ACCT_00436,business,227403.99,BANK_E,1
ACCT_00437,business,50490.05,BANK_A,0
ACCT_00438,corporate,325807.42,BANK_E,1
ACCT_00439,corporate,432880.67,BANK_D,0
ACCT_00440,business,444157.42,BANK_D,0
ACCT_00441,business,413882.19,BANK_D,0
ACCT_00442,business,365076.64,BANK_C,0
ACCT_00443,business,156949.26,BANK_C,0
ACCT_00444,business,476842.67,BANK_D,0
ACCT_00445,individual,46521.17,BANK_A,0
ACCT_00446,individual,216506.38,BANK_C,0
ACCT_00447,individual,278629.0,BANK_E,0
ACCT_00448,corporate,281280.01,BANK_A,0
ACCT_00449,business,177445.44,BANK_D,0
ACCT_00450,corporate,26671.59,BANK_C,0
ACCT_00451,corporate,156912.0,BANK_A,0
ACCT_00452,corporate,254198.86,BANK_B,0
ACCT_00453,corporate,241612.51,BANK_A,0
ACCT_00454,business,422841.34,BANK_C,0
ACCT_00455,individual,381540.21,BANK_E,0
ACCT_00456,individual,403803.46,BANK_E,0
ACCT_00457,corporate,307173.07,BANK_E,0
ACCT_00458,individual,304888.46,BANK_C,1
ACCT_00459,individual,91027.62,BANK_C,1
ACCT_00460,business,176160.69,BANK_B,1
ACCT_00461,individual,283594.23,BANK_D,1
ACCT_00462,individual,71795.45,BANK_A,0
ACCT_00463,individual,373309.77,BANK_B,0
ACCT_00464,business,210496.41,BANK_C,0
ACCT_00465,individual,185656.49,BANK_C,1
ACCT_00466,corporate,298515.66,BANK_A,0
ACCT_00467,individual,79547.54,BANK_E,0
ACCT_00468,individual,337310.39,BANK_C,0
ACCT_00469,business,331307.41,BANK_D,0
ACCT_00470,corporate,221580.05,BANK_C,0
ACCT_00471,individual,377716.63,BANK_A,0
ACCT_00472,business,215526.9,BANK_C,0
ACCT_00473,corporate,339564.64,BANK_D,0
ACCT_00474,corporate,333899.15,BANK_A,0
ACCT_00475,individual,198236.43,BANK_E,0
ACCT_00476,individual,4835.86,BANK_C,0
ACCT_00477,individual,383907.41,BANK_C,0
ACCT_00478,business,164733.06,BANK_A,0
ACCT_00479,business,373760.05,BANK_B,0
ACCT_00480,individual,190723.52,BANK_B,1
ACCT_00481,corporate,279803.06,BANK_C,0
ACCT_00482,individual,199138.52,BANK_A,0
ACCT_00483,business,10352.03,BANK_A,0
ACCT_00484,business,288303.82,BANK_E,0
ACCT_00485,business,355039.98,BANK_D,0
ACCT_00486,business,58471.51,BANK_A,0
ACCT_00487,business,86764.72,BANK_E,0
ACCT_00488,business,416180.93,BANK_C,0
ACCT_00489,individual,218919.18,BANK_A,0
ACCT_00490,individual,218402.59,BANK_D,0
ACCT_00491,corporate,40244.9,BANK_C,0
ACCT_00492,corporate,170417.13,BANK_C,0
ACCT_00493,individual,39113.31,BANK_A,1
ACCT_00494,corporate,255466.08,BANK_C,0
ACCT_00495,business,363962.17,BANK_B,1
ACCT_00496,individual,52299.46,BANK_C,0
ACCT_00497,individual,87576.01,BANK_B,0
ACCT_00498,corporate,38601.28,BANK_D,0
ACCT_00499,business,377468.47,BANK_E,1
ACCT_00500,business,340885.61,BANK_E,0
ACCT_00501,corporate,318013.86,BANK_E,0
ACCT_00502,business,432259.19,BANK_C,1
ACCT_00503,individual,220441.65,BANK_D,0
ACCT_00504,business,316061.17,BANK_C,0
ACCT_00505,corporate,29029.89,BANK_E,0
ACCT_00506,individual,155893.52,BANK_D,0
ACCT_00507,individual,29388.14,BANK_C,0
ACCT_00508,individual,322688.57,BANK_A,0
ACCT_00509,corporate,297445.83,BANK_D,0
ACCT_00510,business,290584.37,BANK_A,0
ACCT_00511,business,454615.93,BANK_E,0
ACCT_00512,corporate,94931.49,BANK_E,0
ACCT_00513,business,251182.28,BANK_A,0
ACCT_00514,business,52647.44,BANK_C,1
ACCT_00515,corporate,43080.24,BANK_B,1
ACCT_00516,individual,124624.12,BANK_D,0
ACCT_00517,business,262510.21,BANK_E,0
ACCT_00518,individual,182585.08,BANK_C,0
ACCT_00519,business,204975.93,BANK_C,0
ACCT_00520,corporate,299345.05,BANK_C,0
ACCT_00521,individual,165515.69,BANK_E,0
ACCT_00522,corporate,193895.54,BANK_C,0
ACCT_00523,corporate,425931.56,BANK_E,0
ACCT_00524,individual,167347.66,BANK_E,0
ACCT_00525,corporate,71572.76,BANK_C,0
ACCT_00526,business,483880.56,BANK_D,0
ACCT_00527,individual,297925.57,BANK_A,0
ACCT_00528,business,279902.11,BANK_C,0
ACCT_00529,individual,335388.08,BANK_E,0
ACCT_00530,individual,323366.39,BANK_D,1
ACCT_00531,corporate,181552.22,BANK_C,0
ACCT_00532,business,90951.2,BANK_B,0
ACCT_00533,business,473886.47,BANK_D,0
ACCT_00534,individual,114044.98,BANK_B,0
ACCT_00535,individual,39505.38,BANK_A,0
ACCT_00536,corporate,385666.49,BANK_E,0
ACCT_00537,individual,331302.69,BANK_E,0
ACCT_00538,individual,299025.97,BANK_B,0
ACCT_00539,individual,91242.14,BANK_E,0
ACCT_00540,individual,360870.32,BANK_A,0
ACCT_00541,business,182785.41,BANK_B,0
ACCT_00542,business,305687.12,BANK_D,0
ACCT_00543,individual,267471.56,BANK_C,0
ACCT_00544,business,452083.19,BANK_B,0
ACCT_00545,business,339475.11,BANK_E,0
ACCT_00546,business,231378.31,BANK_C,0
ACCT_00547,business,251950.44,BANK_D,1
ACCT_00548,individual,408628.73,BANK_E,1
ACCT_00549,individual,436627.96,BANK_A,1
ACCT_00550,corporate,240814.74,BANK_C,0
ACCT_00551,corporate,467212.48,BANK_E,1
ACCT_00552,individual,143246.44,BANK_B,0
ACCT_00553,business,225210.29,BANK_E,0
ACCT_00554,individual,415692.31,BANK_A,0
ACCT_00555,individual,408534.92,BANK_C,0
ACCT_00556,individual,208033.56,BANK_D,0
ACCT_00557,corporate,187606.78,BANK_D,0
ACCT_00558,individual,188081.42,BANK_A,0
ACCT_00559,business,465482.13,BANK_C,0
ACCT_00560,individual,69662.19,BANK_C,1
ACCT_00561,business,348339.92,BANK_B,0
ACCT_00562,corporate,235085.95,BANK_E,0
ACCT_00563,individual,453022.89,BANK_A,0
ACCT_00564,business,108611.72,BANK_B,0
ACCT_00565,corporate,470172.75,BANK_E,0
ACCT_00566,corporate,212204.12,BANK_C,0
ACCT_00567,individual,151274.45,BANK_A,0
ACCT_00568,individual,210492.95,BANK_E,0
ACCT_00569,business,32340.77,BANK_D,1
ACCT_00570,corporate,268490.84,BANK_E,1
ACCT_00571,corporate,121727.13,BANK_B,0
ACCT_00572,business,215190.21,BANK_E,0
ACCT_00573,business,121041.56,BANK_D,0
ACCT_00574,individual,332521.28,BANK_A,0
ACCT_00575,corporate,487352.59,BANK_A,0
ACCT_00576,corporate,272496.9,BANK_E,0
ACCT_00577,corporate,11146.82,BANK_D,0
ACCT_00578,individual,318199.72,BANK_C,0
ACCT_00579,business,373910.98,BANK_C,1
ACCT_00580,individual,173056.44,BANK_A,1
ACCT_00581,corporate,367858.31,BANK_C,0
ACCT_00582,individual,23123.51,BANK_E,0
