tx_id,from_id,to_id,tx_type,amount,timestamp,is_sar,alert_id
38,ACCT_00842,ACCT_01761,CASH,2017.06,2023-01-01 04:01:49,0,
39,ACCT_01816,ACCT_00100,TRANSFER,4065.14,2023-01-01 04:14:18,0,
40,ACCT_00110,ACCT_01887,CHECK,3991.68,2023-01-01 04:14:34,0,
41,ACCT_00630,ACCT_01718,CHECK,3369.77,2023-01-01 04:29:24,0,
42,ACCT_00394,ACCT_01398,ACH,3197.5,2023-01-01 04:36:09,0,
43,ACCT_01739,ACCT_01768,ACH,2137.43,2023-01-01 04:41:30,0,
44,ACCT_01142,ACCT_01424,CASH,1249.18,2023-01-01 04:43:14,0,
45,ACCT_00615,ACCT_00874,TRANSFER,4841.72,2023-01-01 04:46:17,0,
46,ACCT_01240,ACCT_00559,ACH,525.85,2023-01-01 04:47:50,0,
47,ACCT_00938,ACCT_00256,ACH,2619.94,2023-01-01 04:53:33,0,
48,ACCT_01947,ACCT_00181,CASH,1745.79,2023-01-01 04:56:08,0,
49,ACCT_00379,ACCT_00149,WIRE,4264.65,2023-01-01 05:14:54,0,
50,ACCT_00607,ACCT_01358,CASH,1809.49,2023-01-01 05:17:41,0,
51,ACCT_01685,ACCT_00482,ACH,2264.85,2023-01-01 05:31:03,0,
52,ACCT_01412,ACCT_01158,ACH,2038.61,2023-01-01 06:01:03,0,
53,ACCT_00849,ACCT_00966,ACH,4301.56,2023-01-01 06:01:36,0,
54,ACCT_01852,ACCT_01179,TRANSFER,48.93,2023-01-01 06:09:33,0,
55,ACCT_01020,ACCT_01752,CHECK,2722.07,2023-01-01 06:12:38,0,
56,ACCT_00031,ACCT_00620,TRANSFER,2770.95,2023-01-01 06:18:42,0,
57,ACCT_01027,ACCT_01566,CASH,910.1,2023-01-01 06:22:34,0,
58,ACCT_01731,ACCT_00805,WIRE,2020.68,2023-01-01 06:25:44,0,
59,ACCT_00182,ACCT_01111,CASH,1229.36,2023-01-01 06:27:27,0,
60,ACCT_01633,ACCT_01059,CHECK,4966.93,2023-01-01 06:36:31,0,
61,ACCT_00460,ACCT_00854,WIRE,3822.13,2023-01-01 07:02:03,0,
62,ACCT_01557,ACCT_00375,ACH,2787.97,2023-01-01 07:09:34,0,
63,ACCT_01875,ACCT_01501,CASH,4249.37,2023-01-01 07:15:56,0,
64,ACCT_00790,ACCT_00317,CHECK,1281.88,2023-01-01 07:27:26,0,
65,ACCT_00315,ACCT_00842,TRANSFER,4566.41,2023-01-01 07:27:47,0,
66,ACCT_00496,ACCT_01636,ACH,311.16,2023-01-01 07:41:00,0,
67,ACCT_00074,ACCT_00428,WIRE,2917.87,2023-01-01 07:43:28,0,
68,ACCT_00673,ACCT_01352,CASH,3453.6,2023-01-01 07:49:04,0,
69,ACCT_01883,ACCT_00335,ACH,2139.51,2023-01-01 07:49:18,0,
70,ACCT_00728,ACCT_00463,WIRE,2129.61,2023-01-01 08:01:27,0,
71,ACCT_01115,ACCT_00957,WIRE,4707.47,2023-01-01 08:15:59,0,
72,ACCT_01028,ACCT_00887,CHECK,393.25,2023-01-01 08:24:35,0,
73,ACCT_01699,ACCT_01708,CHECK,264.1,2023-01-01 08:30:15,0,
74,ACCT_00281,ACCT_01575,ACH,2001.1,2023-01-01 08:30:29,0,
75,ACCT_00205,ACCT_00511,WIRE,527.02,2023-01-01 08:36:51,0,
76,ACCT_00773,ACCT_01554,WIRE,1677.53,2023-01-01 08:41:38,0,
77,ACCT_01058,ACCT_00644,CHECK,4483.06,2023-01-01 09:06:28,0,
78,ACCT_00283,ACCT_01752,ACH,4562.79,2023-01-01 09:12:59,0,
79,ACCT_00231,ACCT_01075,CASH,2932.01,2023-01-01 09:33:57,0,
80,ACCT_00011,ACCT_00717,WIRE,2016.32,2023-01-01 09:34:22,0,
81,ACCT_00559,ACCT_01375,CHECK,3145.09,2023-01-01 09:45:18,0,
82,ACCT_01305,ACCT_00842,WIRE,2082.53,2023-01-01 09:45:38,0,
83,ACCT_00391,ACCT_00669,CASH,4356.68,2023-01-01 09:47:50,0,
84,ACCT_00201,ACCT_01638,WIRE,2784.5,2023-01-01 09:51:04,0,
85,ACCT_00447,ACCT_01648,WIRE,3679.24,2023-01-01 09:51:47,0,
86,ACCT_00080,ACCT_00933,WIRE,3398.89,2023-01-01 09:52:50,0,
87,ACCT_01467,ACCT_00886,WIRE,1586.55,2023-01-01 09:59:55,0,
88,ACCT_00937,ACCT_00952,CHECK,4289.97,2023-01-01 10:08:28,0,
89,ACCT_00825,ACCT_00977,ACH,646.59,2023-01-01 10:15:26,0,
90,ACCT_00486,ACCT_01596,TRANSFER,4319.82,2023-01-01 10:25:00,0,
91,ACCT_00796,ACCT_00149,TRANSFER,2406.91,2023-01-01 10:25:04,0,
92,ACCT_00422,ACCT_01157,WIRE,3648.64,2023-01-01 10:30:42,0,
93,ACCT_01870,ACCT_01420,ACH,1951.8,2023-01-01 10:43:33,0,
94,ACCT_00119,ACCT_00488,WIRE,469.03,2023-01-01 10:51:13,0,
95,ACCT_01612,ACCT_01790,CASH,1906.77,2023-01-01 10:58:18,0,
96,ACCT_01200,ACCT_00271,WIRE,196.09,2023-01-01 10:58:24,0,
97,ACCT_00669,ACCT_01191,ACH,1406.61,2023-01-01 10:59:04,0,
98,ACCT_01509,ACCT_01872,CASH,2051.93,2023-01-01 11:02:44,0,
99,ACCT_00519,ACCT_00089,TRANSFER,1515.21,2023-01-01 11:05:39,0,
100,ACCT_00555,ACCT_00952,TRANSFER,4024.15,2023-01-01 11:09:01,0,
101,ACCT_00211,ACCT_00060,WIRE,248.69,2023-01-01 11:13:39,0,
102,ACCT_01673,ACCT_01596,CHECK,1274.59,2023-01-01 11:15:50,0,
103,ACCT_00244,ACCT_00865,CASH,3311.31,2023-01-01 11:24:50,0,
104,ACCT_01388,ACCT_01414,WIRE,1573.22,2023-01-01 11:25:27,0,
105,ACCT_00617,ACCT_00953,WIRE,2019.39,2023-01-01 11:26:44,0,
106,ACCT_01596,ACCT_01132,ACH,4460.2,2023-01-01 11:31:32,0,
107,ACCT_01414,ACCT_00098,TRANSFER,1056.92,2023-01-01 11:35:39,0,
108,ACCT_00909,ACCT_00292,CASH,3805.32,2023-01-01 11:37:50,0,
109,ACCT_01110,ACCT_00219,TRANSFER,1067.43,2023-01-01 11:51:18,0,
110,ACCT_01969,ACCT_00842,ACH,3103.21,2023-01-01 11:57:57,0,
111,ACCT_00589,ACCT_01167,ACH,883.27,2023-01-01 12:21:36,0,
112,ACCT_00831,ACCT_01684,ACH,3791.45,2023-01-01 12:50:31,0,
113,ACCT_00164,ACCT_01690,CASH,607.27,2023-01-01 12:52:23,0,
114,ACCT_00703,ACCT_00346,ACH,48.68,2023-01-01 12:56:21,0,
115,ACCT_00415,ACCT_00177,TRANSFER,4537.42,2023-01-01 12:59:11,0,
116,ACCT_00808,ACCT_00452,TRANSFER,229.63,2023-01-01 13:05:02,0,
117,ACCT_00142,ACCT_00436,CASH,3343.19,2023-01-01 13:05:06,0,
118,ACCT_01042,ACCT_00517,ACH,355.99,2023-01-01 13:05:11,0,
119,ACCT_00416,ACCT_00008,ACH,3829.33,2023-01-01 13:11:03,0,
120,ACCT_01344,ACCT_01767,CHECK,4019.72,2023-01-01 13:12:08,0,
121,ACCT_01679,ACCT_00150,CHECK,1774.61,2023-01-01 13:37:29,0,
122,ACCT_01392,ACCT_01713,TRANSFER,1053.98,2023-01-01 13:59:46,0,
123,ACCT_00097,ACCT_00234,WIRE,3218.58,2023-01-01 14:00:19,0,
124,ACCT_01246,ACCT_01613,CHECK,3845.15,2023-01-01 14:02:08,0,
125,ACCT_00282,ACCT_01517,CASH,2460.44,2023-01-01 14:11:31,0,
126,ACCT_00743,ACCT_00798,ACH,1358.81,2023-01-01 14:14:13,0,
127,ACCT_00635,ACCT_00774,TRANSFER,1964.72,2023-01-01 14:14:41,0,
128,ACCT_01498,ACCT_01797,WIRE,1706.08,2023-01-01 14:14:53,0,
129,ACCT_00477,ACCT_01032,ACH,3526.1,2023-01-01 14:21:18,0,
130,ACCT_00515,ACCT_01004,TRANSFER,13929.12,2023-01-01 14:23:12,1,ALERT_0036
131,ACCT_00243,ACCT_01047,CHECK,1967.35,2023-01-01 15:14:41,0,
132,ACCT_01155,ACCT_00672,ACH,268.23,2023-01-01 15:15:34,0,
133,ACCT_00431,ACCT_01485,CASH,228.35,2023-01-01 15:20:52,0,
134,ACCT_01107,ACCT_01538,CASH,1098.06,2023-01-01 15:24:21,0,
135,ACCT_00188,ACCT_00033,CHECK,149.44,2023-01-01 15:43:29,0,
136,ACCT_01868,ACCT_00234,ACH,2235.88,2023-01-01 15:49:59,0,
137,ACCT_00350,ACCT_01293,TRANSFER,4726.99,2023-01-01 15:57:52,0,
138,ACCT_00559,ACCT_00306,WIRE,1375.45,2023-01-01 16:28:38,0,
139,ACCT_00998,ACCT_00591,TRANSFER,4000.93,2023-01-01 16:50:23,0,
140,ACCT_00909,ACCT_00752,CHECK,2691.7,2023-01-01 16:52:26,0,
141,ACCT_01333,ACCT_01319,CHECK,4380.95,2023-01-01 17:07:04,0,
142,ACCT_00277,ACCT_00029,WIRE,568.44,2023-01-01 17:09:21,0,
143,ACCT_01474,ACCT_00416,WIRE,3029.52,2023-01-01 17:10:16,0,
144,ACCT_01950,ACCT_01464,CASH,4876.66,2023-01-01 17:24:27,0,
145,ACCT_00314,ACCT_01278,WIRE,56.5,2023-01-01 17:32:27,0,
146,ACCT_01668,ACCT_01843,ACH,4700.19,2023-01-01 17:39:03,0,
147,ACCT_01398,ACCT_01523,CASH,4528.06,2023-01-01 17:42:43,0,
148,ACCT_01898,ACCT_00570,CASH,3799.75,2023-01-01 17:58:11,0,
149,ACCT_00585,ACCT_00067,WIRE,302.65,2023-01-01 18:12:32,0,
150,ACCT_01379,ACCT_00701,CASH,2147.04,2023-01-01 18:15:34,0,
151,ACCT_00928,ACCT_00386,TRANSFER,2858.99,2023-01-01 18:29:27,0,
152,ACCT_00657,ACCT_01004,TRANSFER,42099.76,2023-01-01 18:36:01,1,ALERT_0036
153,ACCT_01409,ACCT_00652,CHECK,346.89,2023-01-01 19:03:38,0,
154,ACCT_01611,ACCT_01294,CASH,1736.3,2023-01-01 19:19:50,0,
155,ACCT_00532,ACCT_01786,TRANSFER,2174.66,2023-01-01 19:20:54,0,
156,ACCT_01529,ACCT_00264,CHECK,3903.73,2023-01-01 19:24:22,0,
157,ACCT_00979,ACCT_00277,CHECK,3944.8,2023-01-01 19:25:43,0,
158,ACCT_00481,ACCT_00429,ACH,244.78,2023-01-01 19:34:51,0,
159,ACCT_01175,ACCT_01972,CASH,758.91,2023-01-01 19:37:29,0,
160,ACCT_00639,ACCT_00241,ACH,1388.69,2023-01-01 19:50:41,0,
161,ACCT_00572,ACCT_01751,ACH,1925.84,2023-01-01 20:21:22,0,
162,ACCT_00946,ACCT_00330,WIRE,3674.42,2023-01-01 20:22:10,0,
163,ACCT_01791,ACCT_00687,CASH,4550.67,2023-01-01 20:22:34,0,
164,ACCT_00402,ACCT_00662,ACH,1760.46,2023-01-01 20:27:39,0,
165,ACCT_00148,ACCT_00076,WIRE,2449.58,2023-01-01 20:35:16,0,
166,ACCT_01669,ACCT_00988,ACH,4520.14,2023-01-01 20:37:36,0,
167,ACCT_01167,ACCT_01927,ACH,75.11,2023-01-01 20:45:33,0,
168,ACCT_01958,ACCT_00474,ACH,2007.23,2023-01-01 20:45:45,0,
169,ACCT_00669,ACCT_01541,TRANSFER,3305.96,2023-01-01 20:46:47,0,
170,ACCT_00171,ACCT_00579,ACH,832.72,2023-01-01 20:56:56,0,
171,ACCT_01780,ACCT_00625,TRANSFER,1694.6,2023-01-01 21:17:20,0,
172,ACCT_00396,ACCT_00911,TRANSFER,1115.39,2023-01-01 21:21:51,0,
173,ACCT_00086,ACCT_00028,CHECK,3198.3,2023-01-01 21:23:52,0,
174,ACCT_00169,ACCT_00723,WIRE,4316.59,2023-01-01 21:28:09,0,
175,ACCT_01393,ACCT_01073,ACH,882.45,2023-01-01 21:54:26,0,
176,ACCT_00662,ACCT_01471,WIRE,3050.04,2023-01-01 22:04:04,0,
177,ACCT_00797,ACCT_01171,CASH,1804.01,2023-01-01 22:08:01,0,
178,ACCT_00427,ACCT_01560,WIRE,19.87,2023-01-01 22:16:15,0,
179,ACCT_00642,ACCT_01525,ACH,2696.92,2023-01-01 22:19:15,0,
180,ACCT_00025,ACCT_01236,TRANSFER,1895.6,2023-01-01 22:22:23,0,
181,ACCT_00895,ACCT_01618,ACH,1718.02,2023-01-01 22:22:23,0,
182,ACCT_00352,ACCT_01570,CASH,2571.1,2023-01-01 22:22:31,0,
183,ACCT_00117,ACCT_00450,CHECK,2117.02,2023-01-01 22:36:42,0,
184,ACCT_01087,ACCT_01121,WIRE,4395.14,2023-01-01 22:40:14,0,
185,ACCT_00361,ACCT_01727,CASH,4554.14,2023-01-01 22:40:23,0,
186,ACCT_00744,ACCT_00974,CASH,4108.61,2023-01-01 22:45:36,0,
187,ACCT_00968,ACCT_00020,ACH,4215.48,2023-01-01 22:52:08,0,
188,ACCT_01656,ACCT_00405,CASH,2024.46,2023-01-01 22:52:11,0,
189,ACCT_01264,ACCT_00253,CHECK,739.77,2023-01-01 23:23:25,0,
190,ACCT_01184,ACCT_00590,CASH,4154.0,2023-01-01 23:24:52,0,
191,ACCT_00745,ACCT_01544,CHECK,4233.97,2023-01-01 23:26:11,0,
192,ACCT_00640,ACCT_00268,CHECK,3741.71,2023-01-01 23:30:24,0,
193,ACCT_00426,ACCT_00801,TRANSFER,2460.27,2023-01-01 23:42:48,0,
194,ACCT_01321,ACCT_00044,CASH,953.41,2023-01-01 23:47:58,0,
195,ACCT_00848,ACCT_01983,CASH,1705.37,2023-01-01 23:56:39,0,
196,ACCT_01217,ACCT_01594,WIRE,1138.73,2023-01-02 00:00:11,0,
197,ACCT_01948,ACCT_01423,CASH,2605.6,2023-01-02 00:08:03,0,
198,ACCT_00175,ACCT_00884,CHECK,4311.2,2023-01-02 00:10:14,0,
199,ACCT_00162,ACCT_00692,CASH,2118.42,2023-01-02 00:10:26,0,
200,ACCT_00366,ACCT_01816,CHECK,1982.4,2023-01-02 00:17:10,0,
201,ACCT_00967,ACCT_01402,TRANSFER,4759.71,2023-01-02 00:32:13,0,
202,ACCT_00230,ACCT_00490,WIRE,3910.79,2023-01-02 00:45:37,0,
203,ACCT_00564,ACCT_00351,ACH,3773.63,2023-01-02 00:47:39,0,
204,ACCT_01933,ACCT_00573,TRANSFER,4713.63,2023-01-02 00:49:28,0,
205,ACCT_01115,ACCT_01004,ACH,32133.79,2023-01-02 00:53:46,1,ALERT_0036
206,ACCT_00531,ACCT_00523,ACH,3740.77,2023-01-02 00:59:21,0,
207,ACCT_01931,ACCT_00693,WIRE,3207.18,2023-01-02 01:00:30,0,
208,ACCT_01303,ACCT_00010,CASH,4962.36,2023-01-02 01:00:44,0,
209,ACCT_01451,ACCT_01903,ACH,3335.39,2023-01-02 01:35:37,0,
210,ACCT_01898,ACCT_01107,TRANSFER,4258.92,2023-01-02 01:37:40,0,
211,ACCT_00327,ACCT_00252,CASH,2820.3,2023-01-02 01:42:54,0,
212,ACCT_01824,ACCT_01812,CASH,1091.86,2023-01-02 01:43:03,0,
213,ACCT_00207,ACCT_00259,TRANSFER,4170.95,2023-01-02 01:50:45,0,
214,ACCT_00307,ACCT_00365,TRANSFER,4023.32,2023-01-02 02:03:51,0,
215,ACCT_00456,ACCT_00453,TRANSFER,2136.17,2023-01-02 02:15:10,0,
216,ACCT_00313,ACCT_00291,CHECK,2103.79,2023-01-02 02:26:17,0,
217,ACCT_01952,ACCT_01828,WIRE,3166.65,2023-01-02 02:33:08,0,
218,ACCT_00199,ACCT_00507,WIRE,527.0,2023-01-02 02:37:44,0,
219,ACCT_00299,ACCT_01525,ACH,1355.35,2023-01-02 02:39:29,0,
220,ACCT_00410,ACCT_00988,ACH,2971.84,2023-01-02 02:42:03,0,
221,ACCT_00115,ACCT_00777,CHECK,48.31,2023-01-02 02:45:18,0,
222,ACCT_00821,ACCT_00359,TRANSFER,3523.28,2023-01-02 02:46:24,0,
223,ACCT_01021,ACCT_01641,TRANSFER,2136.69,2023-01-02 02:53:07,0,
224,ACCT_01590,ACCT_00903,ACH,1101.61,2023-01-02 03:16:48,0,
225,ACCT_01698,ACCT_00159,TRANSFER,2117.29,2023-01-02 03:17:42,0,
226,ACCT_01114,ACCT_01886,TRANSFER,2863.25,2023-01-02 03:18:47,0,
227,ACCT_01331,ACCT_00505,CHECK,4042.54,2023-01-02 03:22:53,0,
228,ACCT_01664,ACCT_01420,CHECK,4927.08,2023-01-02 03:25:38,0,
229,ACCT_01316,ACCT_00206,ACH,936.19,2023-01-02 03:34:33,0,
230,ACCT_00092,ACCT_00596,WIRE,4560.24,2023-01-02 03:34:41,0,
231,ACCT_01803,ACCT_01887,WIRE,1588.35,2023-01-02 03:35:01,0,
232,ACCT_01276,ACCT_01806,CASH,2321.51,2023-01-02 03:46:41,0,
233,ACCT_00273,ACCT_01558,CASH,2031.42,2023-01-02 03:57:41,0,
234,ACCT_00773,ACCT_01549,WIRE,597.18,2023-01-02 04:11:07,0,
235,ACCT_00961,ACCT_00083,ACH,2179.1,2023-01-02 04:21:05,0,
236,ACCT_01989,ACCT_01191,CASH,3369.93,2023-01-02 04:27:16,0,
237,ACCT_01763,ACCT_01772,TRANSFER,3700.12,2023-01-02 04:30:02,0,
238,ACCT_00949,ACCT_01357,WIRE,608.38,2023-01-02 04:35:14,0,
239,ACCT_01836,ACCT_01556,CHECK,343.81,2023-01-02 04:37:22,0,
240,ACCT_01562,ACCT_01893,WIRE,1067.94,2023-01-02 05:12:19,0,
241,ACCT_00864,ACCT_00425,CHECK,1317.04,2023-01-02 05:23:24,0,
242,ACCT_00556,ACCT_00478,WIRE,3864.0,2023-01-02 05:28:48,0,
243,ACCT_01660,ACCT_01543,ACH,1090.56,2023-01-02 05:31:57,0,
244,ACCT_01475,ACCT_01644,CHECK,4083.67,2023-01-02 05:49:19,0,
245,ACCT_01735,ACCT_01998,CHECK,3349.85,2023-01-02 05:55:31,0,
246,ACCT_01713,ACCT_01885,TRANSFER,3203.99,2023-01-02 05:59:21,0,
247,ACCT_01822,ACCT_00770,CASH,3221.48,2023-01-02 06:09:51,0,
248,ACCT_00750,ACCT_01738,ACH,2502.55,2023-01-02 06:13:42,0,
249,ACCT_01824,ACCT_00476,CASH,2017.66,2023-01-02 06:13:45,0,
250,ACCT_00816,ACCT_00823,CASH,3653.27,2023-01-02 06:32:21,0,
251,ACCT_00897,ACCT_01336,CHECK,3378.0,2023-01-02 06:35:01,0,
252,ACCT_01281,ACCT_00765,CASH,3113.35,2023-01-02 06:45:23,0,
253,ACCT_00552,ACCT_01954,ACH,2009.74,2023-01-02 06:50:22,0,
254,ACCT_01161,ACCT_00726,CHECK,3941.77,2023-01-02 06:57:18,0,
255,ACCT_01118,ACCT_01654,TRANSFER,200.59,2023-01-02 07:08:38,0,
256,ACCT_00394,ACCT_01601,ACH,4028.27,2023-01-02 07:12:09,0,
257,ACCT_00812,ACCT_01484,ACH,3083.81,2023-01-02 07:26:48,0,
258,ACCT_01075,ACCT_00088,CASH,4059.0,2023-01-02 07:30:34,0,
259,ACCT_00084,ACCT_01227,CHECK,2625.71,2023-01-02 07:32:51,0,
260,ACCT_00184,ACCT_00217,CHECK,4966.87,2023-01-02 07:33:34,0,
261,ACCT_01846,ACCT_00410,WIRE,3356.3,2023-01-02 07:35:59,0,
262,ACCT_00614,ACCT_01061,CASH,1209.28,2023-01-02 07:38:32,0,
263,ACCT_01643,ACCT_01488,WIRE,1243.2,2023-01-02 07:39:07,0,
264,ACCT_00379,ACCT_00428,TRANSFER,4986.34,2023-01-02 07:45:00,0,
265,ACCT_01301,ACCT_01327,CASH,2203.49,2023-01-02 07:45:05,0,
266,ACCT_01198,ACCT_01265,CHECK,347.17,2023-01-02 07:53:00,0,
267,ACCT_01519,ACCT_00522,TRANSFER,972.3,2023-01-02 07:55:10,0,
268,ACCT_00813,ACCT_01004,ACH,26754.83,2023-01-02 08:01:38,1,ALERT_0036
269,ACCT_01293,ACCT_01200,CASH,229.09,2023-01-02 08:03:37,0,
270,ACCT_00237,ACCT_01917,WIRE,1741.68,2023-01-02 08:04:38,0,
271,ACCT_01694,ACCT_01797,ACH,1767.74,2023-01-02 08:20:06,0,
272,ACCT_01562,ACCT_00490,CASH,2070.24,2023-01-02 08:22:08,0,
273,ACCT_00399,ACCT_00135,ACH,2271.35,2023-01-02 08:44:48,0,
274,ACCT_00194,ACCT_00202,CASH,3339.82,2023-01-02 08:45:38,0,
275,ACCT_00374,ACCT_00443,CASH,1085.31,2023-01-02 09:04:13,0,
276,ACCT_00233,ACCT_01103,ACH,4495.15,2023-01-02 09:04:14,0,
277,ACCT_01945,ACCT_01225,WIRE,4906.0,2023-01-02 09:04:31,0,
278,ACCT_01138,ACCT_00598,WIRE,1034.38,2023-01-02 09:04:46,0,
279,ACCT_01390,ACCT_01521,WIRE,2451.53,2023-01-02 09:09:41,0,
280,ACCT_01698,ACCT_01863,WIRE,2101.1,2023-01-02 09:11:18,0,
281,ACCT_00661,ACCT_00272,CASH,333.42,2023-01-02 09:21:39,0,
282,ACCT_00452,ACCT_01351,WIRE,1792.4,2023-01-02 09:22:37,0,
283,ACCT_01019,ACCT_01584,TRANSFER,2169.38,2023-01-02 09:23:13,0,
284,ACCT_01431,ACCT_01313,TRANSFER,1412.38,2023-01-02 09:26:46,0,
285,ACCT_00278,ACCT_01997,TRANSFER,3813.81,2023-01-02 09:47:10,0,
286,ACCT_00963,ACCT_00299,WIRE,1607.73,2023-01-02 09:49:44,0,
287,ACCT_01345,ACCT_00939,TRANSFER,1671.27,2023-01-02 09:53:01,0,
288,ACCT_00801,ACCT_00393,CASH,339.62,2023-01-02 09:53:23,0,
289,ACCT_00007,ACCT_00569,CASH,639.02,2023-01-02 09:56:50,0,
290,ACCT_01263,ACCT_00200,CHECK,1596.24,2023-01-02 10:05:27,0,
291,ACCT_01108,ACCT_01120,TRANSFER,4763.38,2023-01-02 10:07:35,0,
292,ACCT_01364,ACCT_01775,CHECK,580.97,2023-01-02 10:14:37,0,
293,ACCT_00572,ACCT_01964,WIRE,2114.51,2023-01-02 10:18:56,0,
294,ACCT_00765,ACCT_00034,ACH,2191.66,2023-01-02 10:39:02,0,
295,ACCT_01194,ACCT_00965,CASH,3269.63,2023-01-02 10:51:24,0,
296,ACCT_00038,ACCT_01960,CASH,4426.16,2023-01-02 10:56:59,0,
297,ACCT_01338,ACCT_00715,TRANSFER,735.42,2023-01-02 11:01:35,0,
298,ACCT_00158,ACCT_00946,CHECK,4502.54,2023-01-02 11:02:53,0,
299,ACCT_01552,ACCT_00884,TRANSFER,989.79,2023-01-02 11:24:58,0,
300,ACCT_01415,ACCT_00070,CASH,4290.93,2023-01-02 11:40:06,0,
301,ACCT_00832,ACCT_00236,CASH,4330.77,2023-01-02 11:48:37,0,
302,ACCT_00312,ACCT_01846,ACH,2355.69,2023-01-02 11:49:32,0,
303,ACCT_01448,ACCT_01522,WIRE,71.06,2023-01-02 11:53:58,0,
304,ACCT_00243,ACCT_01004,ACH,27513.42,2023-01-02 12:07:07,1,ALERT_0036
305,ACCT_00520,ACCT_01030,TRANSFER,3037.8,2023-01-02 12:12:37,0,
306,ACCT_01580,ACCT_00565,CHECK,3178.08,2023-01-02 12:20:13,0,
307,ACCT_01816,ACCT_01487,ACH,3502.22,2023-01-02 12:28:17,0,
308,ACCT_00511,ACCT_01819,TRANSFER,4586.1,2023-01-02 12:55:02,0,
309,ACCT_00053,ACCT_00680,TRANSFER,4445.21,2023-01-02 12:57:38,0,
310,ACCT_00324,ACCT_00103,ACH,1365.65,2023-01-02 13:24:38,0,
311,ACCT_00574,ACCT_00856,TRANSFER,1494.37,2023-01-02 13:47:31,0,
312,ACCT_00691,ACCT_01538,ACH,1047.41,2023-01-02 14:10:21,0,
313,ACCT_01903,ACCT_01912,ACH,4130.38,2023-01-02 14:15:48,0,
314,ACCT_01020,ACCT_00412,WIRE,2595.95,2023-01-02 14:33:02,0,
315,ACCT_01979,ACCT_00933,ACH,1807.34,2023-01-02 14:42:26,0,
316,ACCT_00255,ACCT_00364,CASH,731.53,2023-01-02 14:59:03,0,
317,ACCT_01319,ACCT_01039,CHECK,4179.71,2023-01-02 15:01:09,0,
