account_id,linked_customer_id,bank_id,first_seen_timestamp,last_seen_timestamp,real_txn_count,synthetic_txn_count,total_transaction_count,background_real_laundering_count
800C5E3F0,800C5E3F0,31979,2022/09/02 03:33,2022/09/09 06:28,2,0,2,0
800CE8340,,3437,2022/09/01 00:26,2022/09/01 00:26,1,0,1,0
800D11090,800D11090,3236,2022/09/02 16:25,2022/09/09 21:45,2,0,2,0
800D36B20,800D36B20,1,2022/09/01 00:25,2022/09/10 21:38,234,0,234,0
800D43A90,800D43A90,32304,2022/09/01 00:04,2022/09/01 00:04,1,0,1,0
800D46C20,800D46C20,31610,2022/09/01 22:44,2022/09/01 22:44,1,0,1,0
800D6DD70,800D6DD70,12,2022/09/01 02:06,2022/09/10 23:40,29,0,29,0
800D83A40,800D83A40,11,2022/09/01 00:06,2022/09/09 21:41,7,0,7,0
800DDED10,800DDED10,32413,2022/09/02 22:17,2022/09/09 23:43,2,0,2,0
800E4DA90,800E4DA90,12,2022/09/01 00:09,2022/09/10 10:28,6,0,6,0
800E84250,800E84250,701,2022/09/01 17:35,2022/09/10 05:32,3,0,3,1
800E860B0,,31824,2022/09/02 23:22,2022/09/09 22:40,2,0,2,0
800EA3760,,11107,2022/09/01 01:11,2022/09/10 05:55,4,0,4,0
800EB04C0,,32520,2022/09/02 07:52,2022/09/09 15:43,2,0,2,0
800ED00D0,,3409,2022/09/01 04:54,2022/09/01 04:54,1,0,1,0
800EE2180,800EE2180,1729,2022/09/01 00:02,2022/09/09 21:16,34,0,34,0
800F02FB0,,32584,2022/09/01 00:01,2022/09/01 00:01,1,0,1,0
800F06F10,,31900,2022/09/02 02:34,2022/09/09 13:03,2,0,2,0
800F1DB80,800F1DB80,32609,2022/09/01 00:21,2022/09/01 00:21,1,0,1,0
800F30520,800F30520,1688,2022/09/01 00:16,2022/09/09 00:55,15,0,15,0
800F73590,,32672,2022/09/02 20:16,2022/09/09 18:35,2,0,2,0
800FDBF30,,21749,2022/09/01 01:34,2022/09/01 01:34,1,0,1,0
80101D8F0,,32803,2022/09/01 06:45,2022/09/01 06:45,1,0,1,0
8010414C0,,31691,2022/09/02 12:46,2022/09/09 08:30,2,0,2,0
80104C6F0,80104C6F0,1299,2022/09/01 00:00,2022/09/10 23:18,35,0,35,0
80105A870,,1655,2022/09/01 08:10,2022/09/09 00:01,3,0,3,0
801079260,,12561,2022/09/01 00:18,2022/09/09 18:18,26,0,26,0
8010AE9A0,,32721,2022/09/01 21:43,2022/09/01 21:43,1,0,1,0
8010BB6E0,8010BB6E0,12004,2022/09/01 00:11,2022/09/10 14:39,41,0,41,0
80116AFF0,,1412,2022/09/01 00:01,2022/09/10 19:44,109,0,109,0
8011D2BD0,8011D2BD0,12797,2022/09/01 00:21,2022/09/09 06:53,4,0,4,0
8011F1250,8011F1250,1,2022/09/01 00:27,2022/09/02 19:48,3,0,3,0
8011F9E60,8011F9E60,32173,2022/09/02 03:44,2022/09/09 18:06,2,0,2,0
8012010B0,8012010B0,31523,2022/09/02 07:10,2022/09/09 08:19,2,0,2,0
80120A710,80120A710,3221,2022/09/01 21:42,2022/09/01 21:42,1,0,1,0
801211C30,,21387,2022/09/01 00:08,2022/09/05 06:32,3,0,3,0
80124DA90,80124DA90,32870,2022/09/02 20:03,2022/09/09 15:34,2,0,2,0
801294D10,801294D10,11974,2022/09/01 00:09,2022/09/09 20:05,22,0,22,0
80129EB80,,1916,2022/09/01 00:02,2022/09/10 10:59,23,0,23,0
8013E0D50,,22164,2022/09/01 00:13,2022/09/02 07:20,3,0,3,0
8013E5FB0,8013E5FB0,2385,2022/09/01 00:17,2022/09/09 23:53,7,0,7,0
801461050,801461050,1420,2022/09/01 04:39,2022/09/10 06:53,37,0,37,0
801471C80,,1411,2022/09/01 01:19,2022/09/05 20:43,2,0,2,0
8014A1950,,2591,2022/09/01 01:29,2022/09/06 20:54,3,0,3,1
8014D45A0,8014D45A0,1916,2022/09/01 00:03,2022/09/09 17:10,34,0,34,0
8014FC550,8014FC550,12561,2022/09/01 00:16,2022/09/10 21:05,43,0,43,0
8015216E0,8015216E0,33244,2022/09/01 00:06,2022/09/01 00:06,1,0,1,0
801535A60,801535A60,13554,2022/09/01 06:07,2022/09/10 18:32,87,0,87,0
8015C6420,,12561,2022/09/01 19:36,2022/09/10 19:46,21,0,21,0
8015CDCD0,,1686,2022/09/01 00:43,2022/09/09 19:57,43,0,43,0
8015E88E0,8015E88E0,33138,2022/09/02 17:14,2022/09/09 23:45,2,0,2,0
80164B550,,1729,2022/09/01 00:09,2022/09/10 22:16,35,0,35,0
80164F8A0,,1665,2022/09/01 00:21,2022/09/09 20:13,8,0,8,0
8016723A0,,22205,2022/09/01 11:36,2022/09/10 17:15,61,0,61,0
80167DDD0,80167DDD0,3489,2022/09/01 00:25,2022/09/10 22:28,105,0,105,0
8016A5360,,3420,2022/09/01 12:05,2022/09/10 05:57,32,0,32,0
8016D8110,8016D8110,2991,2022/09/01 00:04,2022/09/10 16:45,4,0,4,0
8016DF190,,12381,2022/09/01 00:02,2022/09/09 18:24,12,0,12,0
801772420,801772420,220,2022/09/01 00:04,2022/09/09 21:28,55,0,55,0
80177CEB0,80177CEB0,2843,2022/09/01 01:07,2022/09/01 10:56,2,0,2,0
80179F360,80179F360,23537,2022/09/01 00:22,2022/09/10 21:41,73,0,73,0
8017BE720,8017BE720,31770,2022/09/02 17:21,2022/09/09 08:43,2,0,2,0
8017C71A0,8017C71A0,1588,2022/09/01 00:18,2022/09/09 22:18,13,0,13,1
8018204F0,8018204F0,1024,2022/09/01 02:20,2022/09/06 10:25,11,0,11,0
8018238B0,8018238B0,13516,2022/09/01 15:01,2022/09/10 11:43,23,0,23,0
801827EC0,,22806,2022/09/01 00:11,2022/09/10 16:26,75,0,75,0
801857EB0,,1124,2022/09/01 00:01,2022/09/10 20:21,52,0,52,0
80186E730,,12719,2022/09/01 00:32,2022/09/10 13:23,80,0,80,0
8018C98C0,,32964,2022/09/01 13:50,2022/09/01 13:50,1,0,1,0
8018CD260,8018CD260,24144,2022/09/01 00:18,2022/09/10 16:13,117,0,117,0
8018E0040,,1299,2022/09/01 00:08,2022/09/10 10:51,76,0,76,0
80192BFB0,,1588,2022/09/01 00:21,2022/09/10 00:13,43,0,43,0
80192FEF0,80192FEF0,1362,2022/09/01 08:00,2022/09/10 11:29,48,0,48,0
8019739C0,8019739C0,908,2022/09/07 22:36,2022/09/07 22:36,1,0,1,0
801986330,801986330,12735,2022/09/01 00:26,2022/09/10 10:19,118,0,118,0
8019C1290,,23402,2022/09/01 03:00,2022/09/10 18:25,59,0,59,0
8019C9AA0,,31687,2022/09/02 20:28,2022/09/09 23:23,2,0,2,0
8019D53B0,8019D53B0,11,2022/09/01 00:11,2022/09/03 21:20,2,0,2,0
8019F3C80,,3229,2022/09/01 07:09,2022/09/10 03:11,36,0,36,0
8019FFC80,8019FFC80,3960,2022/09/01 23:46,2022/09/01 23:46,1,0,1,0
801A19640,801A19640,2845,2022/09/01 00:08,2022/09/01 20:16,2,0,2,0
801A22E00,,12381,2022/09/01 06:56,2022/09/09 10:29,5,0,5,0
801A27B20,,37087,2022/09/01 00:19,2022/09/01 00:19,1,0,1,0
801AAE1B0,,11657,2022/09/01 00:01,2022/09/09 22:08,53,0,53,0
801B28A50,,1588,2022/09/01 15:18,2022/09/03 23:22,5,0,5,0
801B565E0,801B565E0,24482,2022/09/01 01:14,2022/09/10 15:11,57,0,57,0
801B850B0,801B850B0,32323,2022/09/01 12:26,2022/09/01 12:26,1,0,1,0
801BCA760,,3123,2022/09/01 10:07,2022/09/01 10:07,1,0,1,0
801BEED90,801BEED90,34192,2022/09/01 20:58,2022/09/01 20:58,1,0,1,0
801C04D80,801C04D80,33662,2022/09/02 18:03,2022/09/09 05:26,2,0,2,0
801C0FB60,801C0FB60,14663,2022/09/01 00:12,2022/09/10 03:17,37,0,37,0
801C7D6A0,,31650,2022/09/02 04:05,2022/09/09 18:09,2,0,2,0
801C912F0,,3335,2022/09/01 00:03,2022/09/09 22:20,16,0,16,0
801C98AE0,801C98AE0,32201,2022/09/02 22:28,2022/09/09 10:16,2,0,2,0
801CAD9C0,,11318,2022/09/01 16:35,2022/09/10 11:33,28,0,28,0
801CB1C50,,1665,2022/09/01 00:13,2022/09/10 20:59,59,0,59,0
801CBAF20,801CBAF20,31932,2022/09/01 10:47,2022/09/01 10:47,1,0,1,0
801D03210,801D03210,2991,2022/09/02 12:03,2022/09/09 22:50,25,0,25,0
801D83260,,22806,2022/09/01 02:35,2022/09/10 16:54,94,0,94,0
